University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Activity Rank,Desirability Rank,Student View Rank,Affordability Rank,Student Mix Rank,Rankings Rank,Employer Activity Score,Desirability Score,Student View Score,Affordability Score,Student Mix Score,Rankings Score
Almaty,/university-rankings-articles/qs-best-student-cities/almaty,,Kazakhstan,,,65.4,81,,False,False,53,151,=134,3,=104,48,72.1,19.9,36.2,88.2,53.8,52.4
Oslo,/university-rankings-articles/qs-best-student-cities/oslo,,Norway,,,65.3,82,,False,False,101,18,54,160,88,81,52.2,87.9,77.3,1,63.3,40.3
Seattle,/university-rankings-articles/qs-best-student-cities/seattle,,United States,,,65.1,83,,False,False,=118,46,95,144,=63,61,43.7,72.1,55.8,25.9,74.4,49.2
Toulouse,/university-rankings-articles/qs-best-student-cities/toulouse,,France,,,64.7,84,,False,False,113,64,102,=42,41,138,45.7,65.5,52.1,60.2,81.7,14.1
Abu Dhabi,/university-rankings-articles/qs-best-student-cities/abu-dhabi,,United Arab Emirates,,,64.6,85,,False,False,105,=85,21,=110,103,98,49.7,55.8,89,37.5,54,32.8
Cape Town,/university-rankings-articles/qs-best-student-cities/cape-town,,South Africa,,,62.9,86,,False,False,122,107,=58,34,123,=85,42.8,43.7,76.3,62.5,45.8,39.3
Gold Coast,/university-rankings-articles/qs-best-student-cities/gold-coast,,Australia,,,62.6,87,,False,False,142,=41,110,97,48,=99,30.7,74.8,49.5,41,79.9,32.7
Durham,/university-rankings-articles/qs-best-student-cities/durham,,United States,,,62.5,88,,False,False,=93,87,109,134,78,=59,56.6,55,49.8,29.5,67.8,49.5
Baltimore,/university-rankings-articles/qs-best-student-cities/baltimore,,United States,,,62.2,89,,False,False,=40,=85,147,=131,75,45,75.7,55.8,23.5,30,68.5,53.1
Bogota,/university-rankings-articles/qs-best-student-cities/bogota,,Colombia,,,61.9,90,,False,False,14,150,118,48,150,27,88.7,21,44.2,59.8,30,61.7
Cairo,/university-rankings-articles/qs-best-student-cities/cairo,,Egypt,,,61.9,91,,False,False,51,143,104,51,=100,71,72.7,23.9,51.5,58,54.2,45.1
Valencia,/university-rankings-articles/qs-best-student-cities/valencia,,Spain,,,61.9,92,,False,False,144,62,99,=37,60,137,29.6,66.9,53.9,61.8,75.6,17.4
Krakow,/university-rankings-articles/qs-best-student-cities/krakow,,Poland,,,61.8,93,,False,False,103,92,=89,41,92,=123,50.1,51.3,58.7,60.3,60.4,24.3
Stuttgart,/university-rankings-articles/qs-best-student-cities/stuttgart,,Germany,,,61.6,94,,False,False,=118,34,117,=86,65,130,43.7,78.1,44.9,43.9,73.3,20
Graz,/university-rankings-articles/qs-best-student-cities/graz,,Austria,,,61.1,95,,False,False,126,36,113,=78,54,140,38.9,76.5,46.6,48.4,78.1,13
Monterrey,/university-rankings-articles/qs-best-student-cities/monterrey,,Mexico,,,60.9,96,,False,False,2,153,131,57,124,77,99.4,19.1,38.2,56.4,45.7,41.8
Sao Paulo,/university-rankings-articles/qs-best-student-cities/sao-paulo,,Brazil,,,60.7,97,,False,False,13,123,133,=82,=146,22,89.3,32.8,36.6,44.3,31.1,65.2
Athens,/university-rankings-articles/qs-best-student-cities/athens,,Greece,,,60.6,98,,False,False,59,100,92,130,84,=118,69.7,49.1,57.1,30.7,64.8,27.6
Hsinchu,/university-rankings-articles/qs-best-student-cities/hsinchu,,Taiwan,,,60.5,99,,False,False,92,119,105,29,116,94,56.8,36.9,51.2,67,50.5,35.8
Nanjing,/university-rankings-articles/qs-best-student-cities/nanjing,,China (Mainland),,,60.5,100,,False,False,=115,=121,66,59,136,47,43.9,33.8,73.8,55.9,38.4,52.5
Ankara,/university-rankings-articles/qs-best-student-cities/ankara,,Türkiye,,,60.2,101,,False,False,87,136,82,27,129,96,59.2,29.3,63.5,67.8,43.4,33.8
Leicester,/university-rankings-articles/qs-best-student-cities/leicester,,United Kingdom,,,60.1,102,,False,False,149,79,101,=94,=15,120,23.8,58.9,53.4,41.5,91.6,27.5
