University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Staff with PhD Rank,International Research Network Rank,Papers per Faculty Rank,Citations per Paper Rank,International Faculty Ratio Rank,International Students Ratio Rank,Academic Reputation Rank,Web Impact Rank,Faculty Student Ratio Rank,Employer Reputation Rank,Faculty Staff with PhD Score,International Research Network Score,Papers per Faculty Score,Citations per Paper Score,International Faculty Ratio Score,International Students Ratio Score,Academic Reputation Score,Web Impact Score,Faculty Student Ratio Score,Employer Reputation Score
Kuwait University,/universities/kuwait-university,Asia,Kuwait,Kuwait City,https://www.topuniversities.com/sites/default/files/231022092206am554044%D8%B4%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-200-px-01-48x48.jpg,47.4,39,,True,False,=1,25,69,101+,95,59,32,101+,101+,51+,100,78.8,26,16.7,10.1,27.3,63.2,12.6,11.4,37.4
Université de Tunis El Manar,/universities/universite-de-tunis-el-manar,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/universit-de-tunis-el-manar_592560cf2aeae70239af5472_small.jpg,47.7,40,,False,False,1,5,20,101+,80,78,50,101+,23,51+,100,97.9,76.2,5.8,16.6,13.3,38,8.4,77.7,9.8
King Faisal University,/universities/king-faisal-university,Asia,Saudi Arabia,Hofuf,https://www.topuniversities.com/sites/default/files/king-faisal-university_592560cf2aeae70239af4f18_small.jpg,47.6,41,,False,False,101+,52,86,65,41,101+,29,97,96,43,6.7,53,20.8,34.3,60.5,4.7,68.6,21.5,20.5,50.9
Holy Spirit University of Kaslik ,/universities/holy-spirit-university-kaslik,Asia,Lebanon,Jounieh,https://www.topuniversities.com/sites/default/files/holy-spirit-university-of-kaslik-_592560cf2aeae70239af4ee8_small.jpg,46.9,42,,False,False,27,101+,101+,11,42,42,51+,101+,13,42,87,3,8.7,90.7,59.1,36.7,24.9,13.3,92.7,51.3
Yarmouk University,/universities/yarmouk-university,Asia,Jordan,Irbid,https://www.topuniversities.com/sites/default/files/yarmouk-university_592560cf2aeae70239af4e72_small.jpg,46.9,43,5,False,False,61,48,63,101+,101+,66,38,56,101+,29,53.5,58.6,30.8,6.9,5.3,21.7,57.9,38.2,2.3,67.7
University of Baghdad,/universities/university-baghdad,Asia,Iraq,Baghdad,https://www.topuniversities.com/sites/default/files/university-of-baghdad_592560cf2aeae70239af5456_small.jpg,46.1,44,4,False,False,99,22,80,101+,101+,101+,47,47,43,45,14,83.1,22.2,1,1.7,1.3,43.4,45.8,54.2,49.4
Princess Sumaya University for Technology,/universities/princess-sumaya-university-technology,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/211107084721am862411PSUT-Logo-Stacked-RGB-48x48.jpg,45.2,45,6,False,False,40,101+,24,101+,77,40,51+,38,101+,18,71.9,3.2,69.2,5.9,17.9,37.5,37.3,60.8,17,84.4
Gulf University for Science and Technology,/universities/gulf-university-science-technology,Asia,Kuwait,Kuwait City,https://www.topuniversities.com/sites/default/files/240211051651am186387GUST-Logo200x200-48x48.jpg,44.2,46,,False,False,28,101+,48,66,18,53,35,101+,82,51+,86.7,3.7,39,34.2,100,28.5,61.7,16.5,26.2,34.6
The Hashemite University,/universities/hashemite-university,Asia,Jordan,Zarqa,https://www.topuniversities.com/sites/default/files/the-hashemite-university_592560cf2aeae70239af5943_small.jpg,41.8,47,,False,False,46,53,49,101+,101+,74,49,11,101+,41,68.6,52.5,38,14.8,5.9,15.8,39.1,94.7,3.8,52.8
University of Balamand,/universities/university-balamand,Asia,Lebanon,Beirut,https://www.topuniversities.com/sites/default/files/university-of-balamand_592560cf2aeae70239af4eee_small.jpg,41.8,48,,False,False,42,101+,101+,67,99,56,51+,101+,6,40,70.1,4.7,11.6,33.9,7.6,27.5,18.8,17.6,99.4,54.6
Imam Mohammad Ibn Saud Islamic University – IMSIU,/universities/imam-mohammad-ibn-saud-islamic-university-imsiu,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/al-imam-mohammad-ibn-saud-islamic-university_592560cf2aeae70239af4f14_small.jpg,41.5,49,,False,False,101+,61,101+,82,74,101+,30,51,60,51+,3.5,39.1,5.3,27.9,20.2,7.4,65.9,41.7,39.4,25.2
Future University in Egypt,/universities/future-university-egypt,Africa,Egypt,New Cairo,https://www.topuniversities.com/sites/default/files/future-university-in-egypt_592560cf2aeae70239af5834_small.jpg,41.4,50,5,False,False,101+,101+,101+,96,101+,64,51+,17,35,14,1.5,5.5,11.2,21,5.1,22.4,16.7,89,62.5,86.8
Al-Ahliyya Amman University,/universities/al-ahliyya-amman-university,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/al-ahliyya-amman-university_592560e29988f300e232131e_small.jpg,n/a,51,5,False,False,10,101+,73,101+,65,12,51+,27,101+,38,98.9,2.5,24.6,6.5,31.1,100,26.2,67.2,18.8,55.7
Al-Azhar University,/universities/al-azhar-university,Africa,Egypt,Cairo,https://www.topuniversities.com/sites/default/files/al-azhar-university-_592560cf2aeae70239af4f37_small.jpg,n/a,52,4,False,False,98,41,101+,98,101+,69,41,59,101+,51+,14.8,64.7,4.6,20.5,1.4,18.6,52.3,35.3,16,31.4
ALMAAREFA UNIVERSITY,/universities/almaarefa-university,Asia,Saudi Arabia,Diriyah,https://www.topuniversities.com/sites/default/files/231228092150am405644Logo-almaarefa-university-Length-48x48.jpg,n/a,53,,False,False,74,101+,101+,101+,35,19,46,45,36,51+,35.8,1.4,7,10.4,73.5,68.1,44.4,47.7,62.5,25
