University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
ISCTE-IUL,/universities/iscte-iul,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/iscte-university-institute-of-lisbon_14199_small.jpg,18.5,396,,False,False,301+,251+,n/a,251+,n/a,14,301+,301+,n/a,301+,301+,301+,3.7,15.5,n/a,18.9,n/a,91.3,15.3,13.7,n/a,5.5,25,20.3
Corvinus University of Budapest,/universities/corvinus-university-budapest,Europe,Hungary,Budapest,https://www.topuniversities.com/sites/default/files/210728015458pm687566Budapesti-Corvinus-Egyetem-logo-EN-200x200px-48x48.jpg,18.2,397,,False,False,301+,251+,301+,186,267,301+,301+,301+,301+,301+,301+,301+,12.1,23.1,3.1,39.2,26.5,7.9,4.4,11.1,8.4,6.5,5.2,8.1
Universitat Internacional de Catalunya,/universities/universitat-internacional-de-catalunya,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/universitat-internacional-de-catalunya_592560cf2aeae70239af52c7_small.jpg,18.1,398,,False,False,32,251+,n/a,251+,66,301+,301+,111,278,231,301+,301+,97,9.1,n/a,7.8,72.9,7,11.3,53.7,18.8,28.1,2.3,6.6
University of Derby,/universities/university-derby,Europe,United Kingdom,Derby,https://www.topuniversities.com/sites/default/files/university-of-derby_592560cf2aeae70239af4d46_small.jpg,18.1,399,,False,False,301+,251+,301+,251+,231,301+,245,301+,238,301+,301+,301+,23.8,11,15.2,18.4,33.3,9.1,33.6,2.7,29,4.1,17.8,9.8
University of Hradec Kralove,/universities/university-hradec-kralove,Europe,Czechia,Hradec Králové,https://www.topuniversities.com/sites/default/files/uhk-abb_xs_rgb-48x48.jpg,18.1,400,3,False,False,240,251+,301+,251+,301+,301+,301+,11,184,35,301+,301+,42.1,11.2,1.6,6.9,7.4,21.3,2,99.9,45,88.8,15.4,14.3
Universitat Jaume I,/universities/universitat-jaume-i,Europe,Spain,Castelló de la Plana,https://www.topuniversities.com/sites/default/files/universitat-jaume-i_1519_small.jpg,17.9,401,,False,False,301+,251+,n/a,251+,301+,234,266,148,301+,112,301+,301+,31,11.9,n/a,3.4,20.5,34.1,27.9,41.7,3.3,58.6,31.1,5.3
University of Novi Sad,/universities/university-novi-sad,Europe,Serbia,Novi Sad,https://www.topuniversities.com/sites/default/files/university-of-novi-sad_592560cf2aeae70239af55cc_small.jpg,17.9,402,,False,False,301+,251+,301+,251+,n/a,301+,301+,301+,n/a,301+,190,301+,20.4,19,10.2,11.9,n/a,12,1.9,3.3,n/a,15.4,62.1,14.9
University POLITEHNICA of Bucharest,/universities/university-politehnica-bucharest,Europe,Romania,Bucharest,https://www.topuniversities.com/sites/default/files/university-politehnica-of-bucharest_592560df9988f300e2320a67_small.jpg,17.8,403,,False,False,301+,251+,301+,251+,301+,145,301+,95,301+,301+,300,301+,8.9,12.8,4.7,25.8,2.8,46.7,1.1,60.4,1.5,13.8,37.7,9.1
Université de Caen Normandie,/universities/universite-de-caen-basse-normandie,Europe,France,Caen,https://www.topuniversities.com/sites/default/files/universit-de-caen-basse-normandie_592560cf2aeae70239af4ad2_small.jpg,17.8,404,,False,False,301+,251+,301+,251+,301+,301+,301+,301+,301+,301+,229,301+,14.4,19.4,4.1,10.7,6.2,23.1,6.7,5.2,9.9,14.6,54.4,4.9
University of Ioannina,/universities/university-ioannina,Europe,Greece,Ioannina,https://www.topuniversities.com/sites/default/files/university-of-ioannina_592560dd9988f300e23205ee_small.jpg,17.6,405,,False,False,301+,251+,n/a,251+,301+,210,221,301+,301+,301+,301+,301+,3.2,15.2,n/a,11.5,6.1,37.8,39.9,2.8,1.8,3,34.7,11.9
