University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,100,1,,False,False,5,1,=12,1,71,55,12,176,41,62,1,1,100,100,98.2,100,71,67.2,99,38.1,96.1,75.4,100,100
ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,99.4,2,,False,False,61,4,=40,13,15,32,6,=157,3,=184,32,8,85,100,91.6,99,96.9,81.1,99.8,39.5,100,33.9,94.7,99.4
University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,98.7,3,,False,False,8,2,17,2,90,63,7,301+,17,117,6,2,100,100,97.8,100,68,65.8,99.7,9.1,100,57.2,99.4,100
Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,97.6,4,,False,False,19,5,26,3,41,56,5,238,16,301+,27,6,99.4,100,95.7,100,74.4,67.1,99.8,22.3,100,9,95.4,99.7
UCL,/universities/ucl,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,97.5,5,,False,False,17,3,27,5,42,124,11,301+,34,143,2,31,99.6,100,94.3,99.9,74.4,51,99.1,13.8,97.9,49.1,99.9,94
The University of Edinburgh,/universities/university-edinburgh,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,96.5,6,,False,False,68,6,1,10,56,173,16,179,36,157,11,35,82,100,100,99.8,74,42.7,98,36.7,97.2,44.2,98.8,92.2
Université PSL,/universities/universite-psl,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,96.2,7,,False,False,22,23,=63,11,72,29,22,120,137,79,3,28,99.2,94,86.6,99.7,70.8,83.3,97.1,50.3,64.2,70.2,99.8,94.9
The University of Manchester,/universities/university-manchester,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,94.6,8,,False,False,104,7,28,9,62,185,38,275,66,120,9,11,71.2,99.8,94.2,99.9,73,41.1,93.2,16.3,88.8,56.6,99,99
EPFL – École polytechnique fédérale de Lausanne,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Europe,Switzerland,Lausanne,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,93.2,9,,False,False,33,13,=159,21,3,38,4,43,5,=184,132,165,96.8,97.9,60.8,95.5,100,74.5,99.9,85.1,100,33.9,74,47
King's College London,/universities/kings-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-48x48.jpg,93.1,10,,False,False,99,10,=60,14,49,123,43,212,35,237,13,64,72.7,99.1,87,98.1,74.4,51.3,90.9,27.2,97.3,27.6,98.3,80
Technical University of Munich,/universities/technical-university-munich,Europe,Germany,Munich,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,92.2,11,,False,False,301+,15,=47,7,17,18,77,66,116,17,68,119,28.3,97.7,89.3,99.9,95.6,88.1,79.6,75.8,69.9,97.4,87.6,63.4
The London School of Economics and Political Science (LSE),/universities/london-school-economics-political-science-lse,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,90.2,12,,False,False,156,34,14,8,39,65,36,39,8,116,247,3,58.5,91,98.2,99.9,74.4,65.1,93.5,86.8,100,57.3,51,100
Delft University of Technology,/universities/delft-university-technology,Europe,Netherlands,Delft,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,90.1,13,,False,False,163,24,=6,17,24,31,108,=295,19,301+,48,48,57.3,94,98.7,97.6,86.3,81.3,70.2,13.9,100,10.1,90.9,86.8
University of Glasgow,/universities/university-glasgow,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,88.6,14,6,False,False,153,20,2,29,11,245,72,286,51,159,55,105,58.9,95.3,99.7,92.3,98.8,32.8,82.8,14.7,92.4,43.8,89.9,67.3
University of Leeds,/universities/university-leeds,Europe,United Kingdom,Leeds,https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg,88.3,15,,False,False,167,28,35,23,23,171,84,244,96,135,14,53,56.3,92.4,93.2,94.5,86.8,42.8,78,21.2,78.9,51.8,97.5,83.9
University of Bristol,/universities/university-bristol,Europe,United Kingdom,Bristol,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,88.2,16,6,False,False,207,21,59,19,117,117,34,301+,95,105,75,50,50,94.5,87.1,96.8,59.5,51.9,93.8,10.8,79.2,60.9,86,85.5
Ludwig-Maximilians-Universität München,/universities/ludwig-maximilians-universitat-munchen,Europe,Germany,Munich,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,88.1,17,,False,False,133,8,=72,18,266,148,59,234,126,165,40,37,63.8,99.5,84.6,97.4,26.6,46,87.3,22.6,68.1,42,93.3,91.5
University of Amsterdam,/universities/university-amsterdam,Europe,Netherlands,Amsterdam,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,88.1,18,,False,False,262,14,104,41,131,42,2,=295,71,301+,22,36,38,97.8,76.7,84.1,54.1,73.3,100,13.9,87.5,10.1,96,91.6
The University of Warwick,/universities/university-warwick,Europe,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,87.3,19,,False,False,166,26,=112,15,65,142,73,301+,40,197,59,39,56.4,92.9,75.1,98,72.9,47,80.9,1.9,96.2,32.8,89.7,91.3
Universität Heidelberg,/universities/universitat-heidelberg,Europe,Germany,Heidelberg,https://www.topuniversities.com/sites/default/files/221104124726pm969012uniHD-siegel-200x200k-48x48.jpg,86.7,20,,False,False,15,19,=155,36,135,246,31,42,175,46,60,157,99.9,95.9,61,87.7,53.6,32.7,94.7,85.3,47.9,84,89.7,49.7
Institut Polytechnique de Paris,/universities/institut-polytechnique-de-paris,Europe,France,Palaiseau Cedex,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,86.1,21,,False,False,24,73,=86,4,16,9,167,48,39,242,101,5,98.7,72.8,81.6,100,96.5,94.3,52.2,83,96.7,27.3,81.1,99.7
KU Leuven,/universities/ku-leuven,Europe,Belgium,Leuven,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,85.7,22,,False,False,301+,12,=76,44,234,25,82,=246,69,=261,5,23,16.4,97.9,83.5,83.9,31.6,86.4,78.4,20.3,88.3,23.8,99.5,95.7
Lund University,/universities/lund-university,Europe,Sweden,Lund,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,85.5,23,,False,False,118,31,4,49,38,189,95,301+,27,301+,37,14,68.4,91.8,99.3,81.9,75.3,40.6,73.1,4,99.4,1.6,94,98.1
Uppsala University,/universities/uppsala-university,Europe,Sweden,Uppsala,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg,85.5,24,,False,False,82,40,3,100,127,131,109,32,33,45,34,20,77.8,87.9,99.7,64.4,56.8,48.4,70.2,92.4,98,84.5,94.2,96.2
KTH Royal Institute of Technology ,/universities/kth-royal-institute-technology,Europe,Sweden,Stockholm,https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg,85.4,25,,False,False,74,69,20,40,165,30,67,17,86,27,89,26,80.9,73.6,96.9,84.2,45.8,82.1,85.8,99.6,83.6,92.9,83.6,95.2
Sorbonne University,/universities/sorbonne-university,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg,85.2,26,,False,False,134,11,75,51,225,40,53,252,222,241,4,52,63.8,98.8,83.7,81.4,34.1,74,88.2,19.4,33.1,27.3,99.7,85
University of Birmingham,/universities/university-birmingham,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg,84.9,27,,False,False,144,35,=63,24,125,201,75,254,72,229,31,84,60.2,90.9,86.6,93.7,57.2,38.8,80.4,19.3,87.3,28.3,94.7,72.4
Durham University,/universities/durham-university,Europe,United Kingdom,Durham,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,84.3,28,,False,False,218,43,=15,16,116,122,79,292,43,139,72,95,46.1,85.7,98,97.9,59.6,51.3,78.6,14.2,94.8,49.9,87.2,71.1
The University of Sheffield,/universities/university-sheffield,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/230919100158am438629UoS-logo-48x48.jpg,83.9,29,,False,False,101,46,74,52,19,199,35,239,99,257,28,121,72.1,85.1,84,81.2,95.3,39.1,93.7,22.1,77.6,24.1,94.8,63
Université Paris-Saclay,/universities/universite-paris-saclay,Europe,France,"Gif-sur-Yvette,",https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg,83.4,30,,False,False,10,44,=81,6,103,143,90,301+,209,301+,15,72,100,85.6,82.3,99.9,61.8,46.7,76,5.2,36.4,14.6,97.5,77.3
"Trinity College Dublin, The University of Dublin",/universities/trinity-college-dublin-university-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg,83,31,,False,False,245,30,=76,59,96,73,119,=170,25,301+,83,13,41.3,91.8,83.5,78.8,64.6,64.1,68.4,38.7,99.6,9,84.6,98.2
University of Nottingham,/universities/university-nottingham,Europe,United Kingdom,Nottingham,https://www.topuniversities.com/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg,82.8,32,,False,False,203,41,=67,30,148,168,66,235,82,285,16,125,51,87.1,86.3,92,50.7,43,86.1,22.5,84.4,20.6,97.2,62.2
University of Copenhagen,/universities/university-copenhagen,Europe,Denmark,Copenhagen,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,82.6,33,,False,False,9,22,=42,101,301+,301+,52,=194,78,301+,17,22,100,94.3,91,64,17.1,22.5,88.7,30.5,86.1,7.8,96.9,95.8
Newcastle University,/universities/newcastle-university,Europe,United Kingdom,Newcastle upon Tyne,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg,82.1,34,6,False,False,178,63,5,27,75,179,37,188,81,274,29,130,54.6,76.3,99.1,92.8,69.9,41.8,93.3,32.8,84.4,22.9,94.8,61
University of Zurich,/universities/university-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,82,35,,False,False,37,45,66,121,212,184,27,=157,15,=184,66,10,95.5,85.4,86.4,58,36.1,41.1,95.8,39.5,100,33.9,87.9,99
University of Southampton,/universities/university-southampton,Europe,United Kingdom,Southampton,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,81.9,36,,False,False,140,55,=55,56,68,82,63,301+,50,294,24,74,61.3,79.2,88,79.9,71.9,62,86.5,11.5,92.5,19.1,95.6,76.6
University of Vienna,/universities/university-vienna,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg,79.9,37,,False,False,256,27,80,70,111,301+,217,121,31,89,43,27,39.1,92.7,82.6,75.7,60.6,24.1,41.3,50,98.3,66.3,92.6,95
University of St Andrews,/universities/university-st-andrews,Europe,United Kingdom,St. Andrews,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg,79.4,38,,False,False,65,65,=29,32,50,107,78,155,38,210,178,144,83.2,75.3,94.1,89.6,74.4,54.3,79.5,39.9,97.1,30,64.5,54.2
Freie Universitaet Berlin,/universities/freie-universitaet-berlin,Europe,Germany,Berlin,https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg,79.3,39,,False,False,301+,16,119,47,159,48,125,72,155,301+,74,142,18.7,96.8,73.5,83.1,48.1,71.1,66,73,57,5.8,86.4,55.5
Aalto University,/universities/aalto-university,Europe,Finland,Espoo,https://www.topuniversities.com/sites/default/files/230913111738am272302Aalto-University-logo-200x200-48x48.jpg,79.1,40,,False,False,149,74,22,78,176,75,33,55,53,152,161,4,59.2,72.5,96.1,72.8,43.3,63.4,93.9,80.2,91.8,45.5,68,99.8
Utrecht University,/universities/utrecht-university,Europe,Netherlands,Utrecht,https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg,78,41,,False,False,197,36,=52,88,301+,79,25,=295,166,301+,38,114,51.5,90.4,88.5,67.8,16.2,62.4,96.2,13.9,51.9,10.1,93.8,65.1
University of Helsinki,/universities/university-helsinki,Europe,Finland,Helsinki,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg,77.9,42,,False,False,79,38,=55,95,301+,94,179,60,135,236,30,17,78.9,89.4,88,64.9,11.6,59,49.5,78.8,65.1,27.7,94.7,97.2
Cardiff University,/universities/cardiff-university,Europe,United Kingdom,Cardiff,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg,77.6,43,,False,False,192,66,11,62,80,227,40,301+,98,24,87,164,52.6,74.5,98.2,78.2,69.7,35.6,91.1,12.7,77.6,93.7,84.2,47.2
Leiden University,/universities/leiden-university,Europe,Netherlands,Leiden,https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg,76.6,44,,False,False,268,32,=148,112,223,113,44,=295,94,301+,42,104,36.8,91.7,63.6,61.3,34.4,52.7,90.6,13.9,79.3,10.1,92.7,67.3
Technische Universität Berlin (TU Berlin),/universities/technische-universitat-berlin-tu-berlin,Europe,Germany,Berlin,https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg,76.6,45,,False,False,72,48,137,26,87,253,129,156,178,144,165,122,81.4,83.2,68.1,93.3,68.2,31.3,65.3,39.7,46.9,48.9,67.1,63
Aarhus University,/universities/aarhus-university,Europe,Denmark,Aarhus,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,76.2,46,,False,False,199,50,=6,126,301+,104,106,119,80,123,39,42,51.3,82.9,98.7,57.1,10.8,54.9,70.5,50.5,84.8,55.2,93.6,89.8
Politecnico di Milano,/universities/politecnico-di-milano,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg,76.1,47,,False,False,301+,29,=197,20,195,34,301+,34,152,20,108,56,12.8,92.3,50,95.7,38.4,79.5,11,89.9,57.9,96.3,80,83
University of Exeter,/universities/university-exeter,Europe,United Kingdom,Exeter,https://www.topuniversities.com/sites/default/files/221117102054am246521University-of-Exeter-Simplified-Logo-Portrait-positive-200-x-200-48x48.jpg,76.1,48,,False,False,222,79,24,57,54,206,42,281,77,278,58,156,45.7,71.8,95.9,79.2,74.3,38.3,90.9,15.5,86.4,21.7,89.8,49.8
Queen Mary University of London,/universities/queen-mary-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,76,49,,False,False,159,61,=93,82,60,181,32,154,29,292,118,185,57.7,76.7,79.9,69.8,73,41.5,94.2,40.8,99.3,19.4,78.5,40.4
Universitat de Barcelona,/universities/universitat-de-barcelona,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg,76,50,,False,False,301+,25,9,104,217,119,172,68,263,103,20,51,26.7,93.8,98.4,63.6,35.6,51.5,50.8,73.8,23.6,61.4,96.4,85.5
University of Groningen,/universities/university-groningen,Europe,Netherlands,Groningen,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg,76,51,,False,False,113,53,99,111,118,217,39,=295,65,301+,46,139,69.4,80.4,78.5,61.6,58.5,37.2,92.4,13.9,88.9,10.1,91.4,56.3
Stockholm University,/universities/stockholm-university,Europe,Sweden,Stockholm,https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg,75.8,52,,False,False,214,51,78,152,122,112,20,301+,107,301+,36,9,46.6,81.5,83.2,47.7,57.5,53.3,97.3,4,75,1.6,94.1,99.3
Erasmus University Rotterdam ,/universities/erasmus-university-rotterdam,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg,75.6,53,,False,False,254,92,=140,45,105,195,17,80,102,129,121,19,39.8,64.4,66.1,83.7,61.3,39.5,97.9,68.5,76.6,53.4,77.7,96.4
Ghent University,/universities/ghent-university,Europe,Belgium,Ghent,https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg,75.4,54,,False,False,54,52,33,125,245,259,116,=246,110,=261,7,30,89.4,80.9,93.5,57.1,29,30.5,68.9,20.3,73,23.8,99.4,94.3
RWTH Aachen University,/universities/rwth-aachen-university,Europe,Germany,Aachen,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,75.2,55,,False,False,301+,59,135,12,30,27,192,112,185,50,137,131,14.2,77.6,68.9,99.1,80.1,84.1,46.4,53.3,44.9,81.9,72.7,60.9
Humboldt-Universität zu Berlin,/universities/humboldt-universitat-zu-berlin,Europe,Germany,Berlin,https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg,75,56,,False,False,301+,9,=171,31,294,223,115,301+,140,301+,73,214,17.5,99.1,57,91.2,22.8,36.1,69.3,5.4,63.9,5.8,87.1,33.7
Wageningen University & Research,/universities/wageningen-university-research,Europe,Netherlands,Wageningen,https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg,75,57,,False,False,21,82,90,134,35,256,8,146,170,68,19,166,99.2,71.2,80.9,52.1,76.3,31.1,99.6,42,50.1,73.8,96.5,46.9
"KIT, Karlsruhe Institute of Technology",/universities/kit-karlsruhe-institute-technology,Europe,Germany,Karlsruhe,https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg,74.9,58,,False,False,146,70,215,22,149,37,155,236,139,111,102,55,59.9,73.6,44.7,94.8,50.7,76.2,54.4,22.5,64,59.5,80.6,83.1
University of Liverpool,/universities/university-liverpool,Europe,United Kingdom,Liverpool,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg,74.4,59,,False,False,155,77,89,83,37,178,113,222,89,201,23,118,58.7,72.3,81.3,69.8,75.4,41.9,69.7,24.8,81.8,31.5,95.8,64.4
University of Bath,/universities/university-bath,Europe,United Kingdom,Bath,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,74.3,60,,False,False,301+,97,=142,28,32,138,24,301+,48,73,151,112,31.1,62.2,65.4,92.4,78.9,47.2,96.4,8.9,92.8,71.9,69.9,65.3
University of Geneva,/universities/university-geneva,Europe,Switzerland,Geneva,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg,74.3,61,,False,False,142,72,=108,161,84,76,46,=157,10,=184,65,92,60.9,73,75.5,44.5,68.6,63.1,90.3,39.5,100,33.9,88,71.6
Lancaster University,/universities/lancaster-university,Europe,United Kingdom,"Lancaster,",https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg,73.7,62,5,False,False,237,86,10,81,102,81,28,268,62,217,106,148,42.5,67.1,98.3,70.4,62.8,62.2,95.1,17.2,89.1,28.6,80.1,51.6
University of Oslo,/universities/university-oslo,Europe,Norway,Oslo,https://www.topuniversities.com/sites/default/files/university-of-oslo_473_small.jpg,73.2,63,,False,False,50,49,32,188,301+,64,130,301+,93,=268,33,49,91,82.9,93.8,38.6,18.9,65.3,65.2,5.8,79.9,23.6,94.6,86.6
Complutense University of Madrid,/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,72.9,64,,False,False,122,33,19,39,189,301+,301+,114,301+,77,79,24,67.1,91.3,97,85.6,40.6,21,5,53,9.5,70.8,85.4,95.3
Sapienza University of Rome,/universities/sapienza-university-rome,Europe,Italy,Rome,https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg,72.3,65,,False,False,301+,17,31,72,301+,54,298,122,301+,253,25,29,11.7,96.6,94,74.9,18.4,67.3,22.3,49.6,3.3,24.9,95.5,94.7
Universitat Autònoma de Barcelona,/universities/universitat-autonoma-de-barcelona,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/universitat-autnoma-de-barcelona_592560cf2aeae70239af4ab0_small.jpg,72,66,,False,False,301+,39,25,114,277,46,133,3,283,61,76,224,22.7,88.2,95.8,60.5,25.3,71.5,63.1,100,18,76.4,85.9,31
University of York,/universities/university-york,Europe,United Kingdom,York,https://www.topuniversities.com/sites/default/files/university-of-york_689_small.jpg,71.5,67,,False,False,135,81,=12,92,36,158,117,301+,88,301+,93,158,63.8,71.4,98.2,66.2,76,44.2,68.9,5.5,82.4,11,82.6,49.3
Technical University of Denmark,/universities/technical-university-denmark,Europe,Denmark,Kongens Lyngby,https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg,71.2,68,,False,False,20,108,132,136,31,49,48,=194,14,301+,120,106,99.4,58.2,70,51.7,79.3,70.8,90.2,30.5,100,7.8,77.8,67
Université catholique de Louvain (UCLouvain),/universities/universite-catholique-de-louvain-uclouvain,Europe,Belgium,Louvain-la-Neuve,https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg,71.2,69,,False,False,301+,60,=133,106,171,86,114,=246,84,=261,81,32,11,77.1,69.8,63,44.7,60.6,69.5,20.3,83.7,23.8,85.2,93.6
Queen's University Belfast,/universities/queens-university-belfast,Europe,United Kingdom,Belfast,https://www.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_small.jpg,71,70,,False,False,233,102,34,86,14,191,61,301+,22,166,77,223,43.7,60.2,93.3,68.2,97.5,40.3,87,10.4,100,41.7,85.8,31
University College Dublin,/universities/university-college-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg,70.5,71,,False,False,267,58,92,74,186,121,205,=170,37,301+,180,15,37.4,77.7,80.1,74.5,41.1,51.3,43.3,38.7,97.2,9,64.2,98
University of Reading,/universities/university-reading,Europe,United Kingdom,Reading,https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg,70.5,72,,False,False,301+,105,=86,69,34,91,69,258,91,301+,97,78,26.4,59.1,81.6,75.7,78.4,59.7,84.6,18.6,80.8,13.9,81.7,75.3
University of Basel,/universities/university-basel,Europe,Switzerland,Basel,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg,70.4,73,,False,False,85,132,91,163,119,19,51,51,7,118,109,66,77.5,51.6,80.3,43.7,58,87.7,89,81.6,100,57,79.6,79.8
Chalmers University of Technology,/universities/chalmers-university-technology,Europe,Sweden,Gothenburg,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg,70,74,,False,False,120,135,54,54,93,35,107,108,11,207,175,101,67.5,49.9,88.1,80.8,66.1,77.9,70.4,55,100,30.5,65.3,67.9
Universidad Autónoma de Madrid,/universities/universidad-autonoma-de-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/230914073612am166112marcaUAM-centroColor-expandHQg-48x48.jpg,70,75,,False,False,188,42,38,43,301+,233,169,274,301+,194,90,154,53.5,86.3,91.9,84.1,19.7,34.6,51.8,16.6,8.4,33.6,83.4,50.1
University of Bern,/universities/university-bern,Europe,Switzerland,Bern,https://www.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg,69.6,76,,False,False,129,117,=81,148,180,7,68,135,9,=184,61,123,64.3,55.5,82.3,49.4,42.7,95.3,84.8,45.9,100,33.9,89.2,62.8
Rheinische Friedrich-Wilhelms-Universität Bonn,/universities/rheinische-friedrich-wilhelms-universitat-bonn,Europe,Germany,Bonn,https://www.topuniversities.com/sites/default/files/rheinische-friedrich-wilhelms-universitt-bonn_592560cf2aeae70239af4ac1_small.jpg,69.4,77,,False,False,115,54,180,153,178,254,76,183,203,109,54,117,68.9,80,55.1,47.6,43.2,31.3,80.2,35,38.5,59.8,90.4,64.6
Alma Mater Studiorum - Università di Bologna,/universities/alma-mater-studiorum-universita-di-bologna,Europe,Italy,Bologna,https://www.topuniversities.com/sites/default/files/alma-mater-studiorum-university-of-bologna_592560cf2aeae70239af4ac0_small.jpg,69.3,78,,False,False,301+,18,128,67,301+,74,231,301+,301+,301+,51,68,8.6,96.5,71.1,76.7,9.2,63.8,37.3,3,8.6,7.2,90.6,79.1
Albert-Ludwigs-Universitaet Freiburg,/universities/albert-ludwigs-universitaet-freiburg,Europe,Germany,Freiburg im Breisgau,https://www.topuniversities.com/sites/default/files/240117022940pm384573UFR-Kurzform-200x200-Zeichenfl%C3%A4che-1-Zeichenfl%C3%A4che-1-48x48.jpg,68.9,79,,False,False,232,67,98,154,182,110,50,144,142,301+,82,124,43.9,74.1,78.9,47.5,42.2,53.9,89.1,42.8,62.6,5.8,84.9,62.8
Universite libre de Bruxelles,/universities/universite-libre-de-bruxelles,Europe,Belgium,Brussels,https://www.topuniversities.com/sites/default/files/universite-libre-de-bruxelles_75_small.jpg,68.5,80,,False,False,301+,99,=117,73,27,58,139,216,44,200,128,61,7,60.7,73.7,74.6,82,66.8,60.3,26.4,94.2,31.7,76.2,81.1
University of Göttingen,/universities/university-gottingen,Europe,Germany,Göttingen,https://www.topuniversities.com/sites/default/files/university-of-gttingen_234_small.jpg,68,81,,False,False,38,64,130,118,239,301+,91,301+,183,301+,47,141,95.2,75.4,70.4,58.5,30.2,22.2,75.5,5.4,45.3,5.8,91.3,55.5
Eberhard Karls Universität Tübingen,/universities/eberhard-karls-universitat-tubingen,Europe,Germany,Tübingen,https://www.topuniversities.com/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg,67.5,82,,False,False,41,68,=159,116,301+,288,85,301+,145,301+,57,145,94.1,73.8,60.8,60,19.8,25.3,77.1,5.4,61.4,5.8,89.8,53.6
University of Gothenburg,/universities/university-gothenburg,Europe,Sweden,Gothenburg,https://www.topuniversities.com/sites/default/files/university-of-gothenburg_233_small.jpg,67,83,,False,False,111,95,=15,162,128,169,111,301+,79,301+,69,41,70,62.9,98,43.7,54.8,42.9,70.1,4,85.1,1.6,87.3,90.5
Universität Hamburg,/universities/universitat-hamburg,Europe,Germany,Hamburg,https://www.topuniversities.com/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg,66.5,84,,False,False,298,57,136,93,241,57,168,301+,202,301+,67,111,32.8,78.8,68.5,65.6,30,67.1,51.8,5.4,38.6,5.8,87.9,66.1
