University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Thought Leadership Rank,Diversity Rank,Alumni Outcomes Rank,Employability Rank,Value for Money Score,Thought Leadership Score,Diversity Score,Alumni Outcomes Score,Employability Score
Mediterranean School of Business,/universities/mediterranean-school-business-msb,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-06-15T131607.289-2-48x48.jpg,38.5,178,,False,False,151+,151+,=93,151+,51,43.7,21.1,61.7,21.3,58.4
Pacifico Business School,/universities/universidad-del-pacifico/pacifico-business-school,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/pacifico-business-school_5c86158b10ca605c2865f8a9_small.jpg,34.6,179,,False,False,141-150,131-140,151+,151+,121-130,48.4,40.2,38.1,23.5,37.1
RIT (Saunders),/universities/rochester-institute-technology-rit/saunders-college-business-rochester-institute-technology,North America,United States,Rochester (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/rochester-institute-of-technology-rit-saunders-college-of-business_28292_small.jpg,35.1,180,,False,False,131-140,151+,151+,121-130,151+,51,34.3,46.1,44.9,24
Rabat Business School,/universities/universit-internationale-de-rabat/rabat-business-school,Africa,Morocco,Rabat,https://www.topuniversities.com/sites/default/files/profiles/logos/221209043122pm221692LOGO-RBS--48x48.jpg,27.4,181,,False,False,151+,151+,121-130,151+,151+,41.9,27.4,53.2,27.4,20.5
Rennes School of Business,/universities/rennes-school-business,Europe,France,Rennes,https://www.topuniversities.com/sites/default/files/profiles/logos/230109035739pm488405Logo-Rennes-SB-200-48x48.jpg,40,182,,False,False,93,131-140,12,151+,151+,65.1,39,87.4,24.4,25.9
Saint Mary's (Sobey),/universities/saint-marys-university/sobey-school-business-saint-marys-university,North America,Canada,Halifax (NS),https://www.topuniversities.com/sites/default/files/profiles/logos/220307024829pm983444Sobey-Stacked80-48x48.jpg,31.6,183,,False,False,141-150,151+,70,151+,151+,47.4,26.2,67.1,32,22.6
San Francisco (Masagung),/universities/university-san-francisco/masagung-graduate-school-management,North America,United States,San Francisco (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/masagung-graduate-school-of-management_592560cf2aeae70239af5738_small.jpg,38.2,184,,False,False,141-150,151+,131-140,=61,151+,45.3,24.5,52.3,63.8,29
Simon Fraser (Beedie),/universities/simon-fraser-university/beedie-school-business,North America,Canada,Vancouver,https://www.topuniversities.com/sites/default/files/profiles/logos/simon-fraser-university_592560cf2aeae70239af56fa_small.jpg,38.6,185,,False,False,151+,86,43,121-130,151+,31.1,50.2,74.3,44.9,27.8
Suffolk (Sawyer),/universities/suffolk-university/sawyer-business-school-usa,North America,United States,Boston (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/sawyer-business-school-usa_19531_small.jpg,38.6,186,,False,False,71,151+,72,121-130,151+,72.2,26.8,66.7,41.2,21
T A PAI Management Institute,/universities/ta-pai-management-institute-tapmi,Asia,India,Manipal,https://www.topuniversities.com/sites/default/files/profiles/logos/t.a.-pai-management-institute-tapmi_5d4d781d5c52f35321193b58_small.jpg,20.8,187,,False,False,151+,151+,151+,151+,151+,23.3,26.2,36.9,25,20.8
Tampa (Sykes),/universities/university-tampa/university-tampa,North America,United States,Tampa (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-tampa_592560cf2aeae70239af5740_small.jpg,38.5,188,,False,False,66,151+,101-110,141-150,151+,73.4,29.3,57.1,36.7,24.4
Tikrit University,/universities/tikrit-university,Asia,Iraq,Tikrit,https://www.topuniversities.com/sites/default/files/profiles/logos/tikrit-university_592560e09988f300e2320aee_small.jpg,20.2,189,,False,False,151+,151+,151+,151+,151+,34.2,25.5,23.2,20,20
Tilburg University,/universities/tilburg-university,Europe,Netherlands,Tilburg,https://www.topuniversities.com/sites/default/files/profiles/logos/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,40.3,190,,False,False,99,=93,111-120,151+,151+,61.9,48.6,56.4,33.5,26.9
Tulsa (Collins),/universities/university-tulsa-college-business-administration,North America,United States,Tulsa (OK),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-tulsa_592560cf2aeae70239af5a80_small.jpg,27.9,191,,False,False,131-140,151+,151+,141-150,151+,49.6,25.4,27.1,36.3,21
UMass Boston,/universities/university-massachusetts-boston/college-management,North America,United States,Boston (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/boston-college-of-management_592560cf2aeae70239af58dd_small.jpg,37.7,192,,False,False,75,151+,141-150,151+,141-150,71,33.5,48.4,23.6,32.2
United International Business School,/universities/united-international-business-school-uibs,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/231011013942pm244023resized-logos-90x90_3.jpg,27.1,193,,False,False,151+,151+,23,151+,151+,40.5,20.7,81.5,20,20.2
"Business School, Universidad EAFIT",/universities/universidad-eafit/business-school-universidad-eafit,Latin America,Colombia,"Medellin, Bogota, Pereira",https://www.topuniversities.com/sites/default/files/business-school-universidad-eafit.jpg,38,194,,False,False,111-120,151+,151+,131-140,121-130,56.4,34.7,34.1,39.8,36
ESAN Graduate School of Business - ESAN University,/universities/esan-graduate-school-business-esan-university,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/esan-graduate-school-of-business_592560cf2aeae70239af5848_small.jpg,34.9,195,,False,False,101-110,151+,151+,151+,101-110,59.5,29,40.7,20,39.4
Universidad ORT Uruguay,/universities/universidad-ort-uruguay,Latin America,Uruguay,Montevideo,https://www.topuniversities.com/sites/default/files/universidad-ort-uruguay_470_small.jpg,40.9,196,,False,False,=51,151+,151+,151+,101-110,78.5,34.7,42.7,20,40.2
University of Iowa,/universities/university-iowa/tippie-school-management-university-iowa,North America,United States,Iowa City (IA),https://www.topuniversities.com/sites/default/files/profiles/logos/tippie-school-of-management-university-of-iowa_15145_small.jpg,38.4,197,,False,False,85,131-140,151+,151+,141-150,67.7,40.2,45.2,27.6,30.7
University of Massachusetts (Dartmouth),/universities/university-massachusetts-dartmouth,North America,United States,Cambridge (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/Webp.net-resizeimage-2021-04-22T142334.914-1-48x48.jpg,26.6,198,,False,False,111-120,151+,151+,151+,151+,55.8,25.4,39.1,20,20
University of Minho,/universities/university-minho/school-economics-management-university-minho,Europe,Portugal,Braga,https://www.topuniversities.com/sites/default/files/profiles/logos/220922092717am393942School-of-Economics-and-Management-University-of-Minho-Logo--1--48x48.jpg,29.7,199,,False,False,151+,121-130,121-130,151+,151+,38.4,42.1,53.7,20,24.9
University of South Florida,/universities/university-south-florida/university-south-florida-muma-college-business,North America,United States,Tampa (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-south-florida-muma-college-of-business_592560e79988f300e2322049_small.jpg,37.3,200,,False,False,111-120,121-130,111-120,141-150,151+,56,41.5,55.5,34.9,26
Vilnius University,/universities/vilnius-university/vilnius-university,Europe,Lithuania,Vilnius,https://www.topuniversities.com/sites/default/files/profiles/logos/faculty-of-economics-and-business-administration_5b4d9e6b9ed41968750865b9_small.jpg,39.5,201,,False,False,151+,87,151+,151+,68,32.9,49.6,44.1,28.7,50.5
West Caspian Univeristy,/universities/western-caspian-university,Asia,Azerbaijan,Baku,https://www.topuniversities.com/sites/default/files/western-caspian-university_593003bdacb295001911c967_medium_0.jpg,29.4,202,,False,False,86,151+,151+,151+,151+,67.5,26.5,37.8,20,20
West Texas A&M University,/universities/west-texas-am-university/paul-virginia-engler-college-business,North America,United States,Canyon (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/210908123505pm682120Webp.net-resizeimage-2021-09-08T153459.564-48x48.jpg,36.1,203,,False,False,=35,151+,=78,151+,151+,83.7,26.8,65.7,20,20
Woxsen School of Business,/universities/woxsen-university,Asia,India,Hyderabad,https://www.topuniversities.com/sites/default/files/profiles/logos/230929014359pm716742download-48x48.jpg,24,204,,False,False,151+,151+,151+,151+,151+,37.7,27.3,46.8,20,20
