University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Thought Leadership Rank,Diversity Rank,Alumni Outcomes Rank,Employability Rank,Value for Money Score,Thought Leadership Score,Diversity Score,Alumni Outcomes Score,Employability Score
Trinity College Dublin,/universities/trinity-college-dublin-university-dublin/trinity-college-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/trinity-college-dublin_19518_small.jpg,66.3,34,,False,False,151+,33,14,43,32,40.5,70.7,86.5,71.6,69.6
UQ Business School,/universities/university-queensland,Oceania,Australia,Brisbane,https://www.topuniversities.com/sites/default/files/profiles/logos/210824044126am970441uq-logo-48x48.jpg,65.1,35,,False,False,=68,32,10,=86,=57,73.1,71.8,88.9,54.4,54.1
UCD (Smurfit),/universities/university-college-dublin/ucd-michael-smurfit-graduate-business-school,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/ucd-michael-smurfit-graduate-business-school_592560cf2aeae70239af558b_small.jpg,63.7,36,,False,False,121-130,34,97,=70,33,54,70.2,60.2,60.6,69
Georgetown (McDonough),/universities/georgetown-university/mcdonough-school-business,North America,United States,"Washington, D.C",https://www.topuniversities.com/sites/default/files/profiles/logos/mcdonough-school-of-business_592560cf2aeae70239af55ae_small.jpg,63.5,37,,False,False,=23,101-110,151+,13,88,89.5,46.6,36.7,95.8,44.9
Nova School of Business,/universities/nova-school-business-economics,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/nova-school-of-business-and-economics_592560cf2aeae70239af599b_medium_2.jpg,63,38,,False,False,=68,26,91,151+,31,73.1,76.8,62.4,29.6,69.8
"Macquarie Business School, Macquarie University",/universities/macquarie-university/macquarie-business-school-sydney-australia,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/macquarie-graduate-school-of-management_592560cf2aeae70239af56b9_small.jpg,62.8,39,,False,False,=9,=99,131-140,=61,=57,97.1,47.5,50.2,63.8,54.1
Vlerick Business School,/universities/vlerick-business-school,Europe,Belgium,Gent,https://www.topuniversities.com/sites/default/files/profiles/logos/vlerick-business-school_592560cf2aeae70239af4d14_small.jpg,62.3,40,,False,False,=37,=73,131-140,=86,39,83,53.1,52.2,54.4,63.7
CUHK Business School,/universities/chinese-university-hong-kong-cuhk,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/230719090304am589775CUHK-acronym-logo-thumb-200x200%2520%25281%2529_0.jpg,62,41,,False,False,151+,31,88,91,20,36.4,72,63.3,53.5,78.3
BI Norwegian Business School,/universities/bi-norwegian-business-school,Europe,Norway,Oslo,https://www.topuniversities.com/sites/default/files/profiles/logos/bi-norwegian-business-school_592560cf2aeae70239af4abb_small.jpg,61.7,42,,False,False,96,43,131-140,90,34,64.2,62.3,51.1,53.9,68.9
EGADE Business School,/universities/tecnologico-de-monterrey/egade-business-school,Latin America,Mexico,Monterrey,https://www.topuniversities.com/sites/default/files/profiles/logos/egade-business-school_592560cf2aeae70239af558c_small.jpg,61.6,43,,False,False,90,=77,151+,76,23,65.6,52.1,32.7,59.7,76.9
