University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
Universidad Nacional del Comahue,/universities/universidad-nacional-del-comahue,Latin America,Argentina,Neuquén,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-comahue_592560cf2aeae70239af5692_small.jpg,n/a,185,,FALSE,FALSE,151+,155,109,151+,n/a,120,61,201+,9.2,37,29.3,18.7,n/a,46.3,54.3,6.8
Universidad de Colima,/universities/universidad-de-colima,Latin America,Mexico,Colima,https://www.topuniversities.com/sites/default/files/universidad-de-colima_592560cf2aeae70239af54c9_small.jpg,n/a,186,,FALSE,FALSE,151+,201+,106,151+,75,201+,73,148,7.5,10.8,29.5,13.3,67.9,23,50.5,18.5
Universidad de Quintana Roo,/universities/universidad-de-quintana-roo,Latin America,Mexico,Quintana Roo,https://www.topuniversities.com/sites/default/files/universidad-de-quintana-roo_592560cf2aeae70239af5153_small.jpg,n/a,187,,FALSE,FALSE,151+,30,201+,151+,201+,201+,19,201+,3.1,93.9,5.5,6.5,11.8,4.8,87.4,4.6
Universidade Federal do Amazonas-UFAM ,/universities/universidade-federal-do-amazonas-ufam,Latin America,Brazil,Manaus,https://www.topuniversities.com/sites/default/files/universidade-federal-do-amazonas-ufam-_592560cf2aeae70239af5546_small.jpg,n/a,188,,FALSE,FALSE,151+,180,39,151+,78,136,201+,121,5.5,31.6,63.1,11.1,66.2,37.8,11.2,25.3
Universidade Federal do Estado do Rio de Janeiro,/universities/universidade-federal-do-estado-do-rio-de-janeiro,Latin America,Brazil,Rio de Janeiro,https://www.topuniversities.com/sites/default/files/231206043418pm698119logo-unirio-qs-48x48.jpg,n/a,189,,FALSE,FALSE,151+,183,201+,151+,37,166,201+,159,7.1,30.3,11.1,13.8,95,30.5,7,16.4
Universidade Federal do Pampa (UNIPAMPA),/universities/universidade-federal-do-pampa-unipampa,Latin America,Brazil,Bagé,https://www.topuniversities.com/sites/default/files/universidade-federal-do-pampa-unipampa_592560e09988f300e2320bfa_small.jpg,n/a,190,,FALSE,FALSE,151+,103,161,151+,44,164,199,109,3.2,51.7,20.8,3.5,91.7,30.7,15.4,30.9
Fundación Universidad de Bogotá Jorge Tadeo Lozano,/universities/fundacion-universidad-de-bogota-jorge-tadeo-lozano,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/fundacin-universidad-de-bogot-jorge-tadeo-lozano_592560cf2aeae70239af5482_small.jpg,n/a,191,,FALSE,FALSE,138,201+,175,133,178,201+,201+,144,24,26,19.3,25.5,24.5,22.4,9.8,19.1
Universidad Autónoma del Estado de Morelos (UAEM),/universities/universidad-autonoma-del-estado-de-morelos-uaem,Latin America,Mexico,Cuernavaca,https://www.topuniversities.com/sites/default/files/universidad-autnoma-del-estado-de-morelos-uaem_592560cf2aeae70239af54ad_small.jpg,n/a,192,,FALSE,FALSE,151+,115,201+,151+,179,113,151,186,7.6,47.7,13.8,17.1,24.5,50.5,25.4,12.5
Universidad Central de Chile ,/universities/universidad-central-de-chile,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-central-de-chile-_592560cf2aeae70239af54bc_small.jpg,n/a,193,,FALSE,FALSE,151+,201+,201+,151+,201+,176,42,196,14.7,8.5,10.6,20.7,13.2,28.6,71.5,11.7
"Universidad La Salle, México",/universities/universidad-la-salle-mexico,Latin America,Mexico,Mexico City,https://www.topuniversities.com/sites/default/files/240411070955pm553306logo-imagotipo-48x48.jpg,n/a,194,,FALSE,FALSE,75,99,201+,151+,201+,201+,201+,201+,46.8,53.4,6.1,16.9,14.3,1.8,2.2,5
Universidad Latina de Costa Rica,/universities/universidad-latina-de-costa-rica,Latin America,Costa Rica,San Jose,https://www.topuniversities.com/sites/default/files/universidad-latina-de-costa-rica_793_small.jpg,n/a,195,4,FALSE,FALSE,59,113,201+,151+,201+,n/a,n/a,201+,57.5,48.2,4.7,19.8,1.2,n/a,n/a,1.3
Universidad de San Nicolás de Hidalgo,/universities/universidad-de-san-nicolas-de-hidalgo,Latin America,Mexico,Morelia,https://www.topuniversities.com/sites/default/files/universidad-de-san-nicols-de-hidalgo_592560cf2aeae70239af5500_small.jpg,n/a,196,,FALSE,FALSE,151+,201+,78,151+,114,115,201+,112,10.3,9.8,37.3,16.7,44.8,49.8,13,29.7
