University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
Universidade Estadual do Centro-Oeste ,/universities/universidade-estadual-do-centro-oeste,Latin America,Brazil,Guarapuava,https://www.topuniversities.com/sites/default/files/universidade-estadual-do-centro-oeste-_592560cf2aeae70239af552d_small.jpg,n/a,295,,FALSE,FALSE,151+,153,193,151+,68,201+,201+,165,4.5,38.3,17.3,2.3,70.4,2.9,3.2,15
Universidade Federal do Mato Grosso,/universities/universidade-federal-do-mato-grosso,Latin America,Brazil,Cuiabá,https://www.topuniversities.com/sites/default/files/universidade-federal-do-mato-grosso_592560cf2aeae70239af553a_small.jpg,n/a,296,,FALSE,FALSE,151+,201+,128,151+,174,123,201+,105,2.9,25.4,25.5,6.3,26.3,42.6,8.8,31.9
Universidade Federal do Acre,/universities/universidade-federal-do-acre,Latin America,Brazil,Rio Branco,https://www.topuniversities.com/sites/default/files/universidade-federal-do-acre_592560cf2aeae70239af5545_small.jpg,n/a,297,,FALSE,FALSE,151+,78,115,151+,97,201+,201+,195,2.1,63.4,28.1,4,52.9,16.2,4,11.8
Universidade de Caxias do Sul ,/universities/universidade-de-caxias-do-sul,Latin America,Brazil,Caxias do Sul,https://www.topuniversities.com/sites/default/files/universidade-de-caxias-do-sul-_592560cf2aeae70239af551d_small.jpg,n/a,298,,FALSE,FALSE,151+,201+,144,151+,201+,200,37,120,2.9,10.4,23.6,4.7,12.1,23.4,74.8,25.9
Universidade de Pernambuco,/universities/universidade-de-pernambuco,Latin America,Brazil,Recife,https://www.topuniversities.com/sites/default/files/220906021040pm503232upe-universidade-de-pernambuco-logo-22AD28A03D-seeklogo.com-48x48.jpg,n/a,299,,FALSE,FALSE,151+,4,201+,151+,n/a,138,201+,201+,1.9,100,13.3,4.9,n/a,37.2,9,6.4
Universidade de Ribeirão Preto,/universities/universidade-de-ribeirao-preto,Latin America,Brazil,Ribeirao Preto,https://www.topuniversities.com/sites/default/files/universidade-de-ribeiro-preto_592560cf2aeae70239af5520_small.jpg,n/a,300,,FALSE,FALSE,151+,201+,201+,151+,74,201+,140,201+,3.6,23.5,6.2,6.5,68,19.7,26.7,8
Universidade do Estado de Santa Catarina,/universities/universidade-do-estado-de-santa-catarina,Latin America,Brazil,Florianópolis,https://www.topuniversities.com/sites/default/files/universidade-do-estado-de-santa-catarina_592560cf2aeae70239af5522_small.jpg,n/a,301,,FALSE,FALSE,151+,175,134,151+,n/a,175,201+,99,3.3,32.8,24.5,16.8,n/a,28.7,7,33.4
University of Guyana,/universities/university-guyana,Latin America,Guyana,Georgetown,,n/a,302,,FALSE,FALSE,151+,75,201+,151+,n/a,201+,25,201+,3.7,64.7,7.1,1.9,n/a,5.9,83.7,2.7
Anton de Kom Universitiet van Suriname,/universities/anton-de-kom-universitiet-van-suriname,Latin America,Suriname,,,n/a,303,,FALSE,FALSE,151+,n/a,201+,151+,n/a,201+,14,n/a,6.5,n/a,2.9,1.1,n/a,4.9,94.2,n/a
"CETYS Universidad, Mexico",/universities/cetys-universidad-mexico,Latin America,Mexico,Mexicali,https://www.topuniversities.com/sites/default/files/cetys-universidad-mexico_592560df9988f300e2320980_small.jpg,n/a,304,3,FALSE,FALSE,151+,201+,201+,151+,123,201+,201+,201+,5.9,21.6,8.3,7.4,41.6,4.1,1.5,3.4
Escuela Colombiana de Ingeniería Julio Garavito ,/universities/escuela-colombiana-de-ingenieria-julio-garavito,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/escuela-colombiana-de-ingeniera-julio-garavito-_592560cf2aeae70239af547d_small.jpg,n/a,305,,FALSE,FALSE,151+,133,201+,151+,n/a,201+,201+,201+,21,42.3,9.1,9.7,n/a,9,2.3,3.3
Universidade Federal Rural de Pernambuco (UFRPE),/universities/universidade-federal-rural-de-pernambuco-ufrpe,Latin America,Brazil,Recife,https://www.topuniversities.com/sites/default/files/220907114005am603222universidade-federal-rural-de-pernambuco-logo-48x48.jpg,n/a,306,,FALSE,FALSE,n/a,163,201+,n/a,n/a,110,201+,57,n/a,35,11,n/a,n/a,51.7,7.1,59.1
Universidad Autónoma Benito Juárez de Oaxaca (UABJO),/universities/universidad-autonoma-benito-juarez-de-oaxaca-uabjo,Latin America,Mexico,Oaxaca,https://www.topuniversities.com/sites/default/files/universidad-autnoma-benito-jurez-de-oaxaca-uabjo_592560cf2aeae70239af5691_small.jpg,n/a,307,,FALSE,FALSE,151+,131,201+,151+,201+,201+,195,201+,4.4,42.9,5.5,7.8,9.8,8.1,15.7,2.1
Universidad Autónoma de Asunción (UAA),/universities/universidad-autonoma-de-asuncion-uaa,Latin America,Paraguay,Asunción,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-asuncin-uaa_592560cf2aeae70239af5497_small.jpg,n/a,308,,FALSE,FALSE,143,201+,201+,151+,117,201+,n/a,201+,22.7,3.6,4.3,10.9,43.8,1.8,n/a,2.4
Universidad Autónoma de Chiapas (UNACH),/universities/universidad-autonoma-de-chiapas-unach,Latin America,Mexico,Tuxtla Gutiérrez,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-chiapas-unach_592560cf2aeae70239af549a_small.jpg,n/a,309,,FALSE,FALSE,151+,109,201+,151+,187,201+,125,201+,1.5,49.2,8.6,8.7,21.1,3.9,31.8,2.8
Universidad Autónoma de Manizales ,/universities/universidad-autonoma-de-manizales,Latin America,Colombia,Manizales,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-manizales-_592560cf2aeae70239af54a3_small.jpg,n/a,310,,FALSE,FALSE,151+,138,201+,151+,n/a,201+,201+,199,3.7,41.7,9.4,8.6,n/a,17,1.8,11.5
Universidad Autónoma de Santo Domingo (UASD),/universities/universidad-autonoma-de-santo-domingo-uasd,Latin America,Dominican Republic,Santo Domingo,https://www.topuniversities.com/sites/default/files/230818013640pm458491logouasd-48x48.jpg,n/a,311,,FALSE,FALSE,130,201+,201+,151+,n/a,201+,201+,201+,25.1,1.2,7.1,12.4,n/a,16.1,2.1,1.7
Universidad Autónoma de Sinaloa (UAS),/universities/universidad-autonoma-de-sinaloa-uas,Latin America,Mexico,Culiacán,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-sinaloa-uas_592560cf2aeae70239af54a6_small.jpg,n/a,312,,FALSE,FALSE,151+,201+,82,151+,201+,190,194,201+,3.7,5,36,13,9.6,24.8,16.4,2.2
Universidad Católica San Pablo,/universities/universidad-catolica-san-pablo,Latin America,Peru,Arequipa,https://www.topuniversities.com/sites/default/files/universidad-catlica-san-pablo_5c86368510ca6067ba7e0339_small.jpg,n/a,313,,FALSE,FALSE,151+,201+,201+,151+,192,201+,201+,201+,8.8,6.9,6.1,15.1,20.1,17.4,1,11.4
Universidad Cooperativa de Colombia,/universities/universidad-cooperativa-de-colombia,Latin America,Colombia,Arauca,https://www.topuniversities.com/sites/default/files/universidad-cooperativa-de-colombia_592560e49988f300e2321915_small.jpg,n/a,314,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,8.2,18.2,9.4,14.1,2.5,19.7,1.4,2.9
Universidad Finis Terrae,/universities/universidad-finis-terrae,Latin America,Chile,,https://www.topuniversities.com/sites/default/files/universidad-finis-terrae_592560df9988f300e23209dc_small.jpg,n/a,315,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,164,9,23.2,11.7,9.4,8.9,10.9,2.9,15.4
Universidad Francisco Marroquín (UFM)  ,/universities/universidad-francisco-marroquin-ufm,Latin America,Guatemala,Guatemala City,https://www.topuniversities.com/sites/default/files/universidad-francisco-marroqun-ufm-_592560cf2aeae70239af54f3_small.jpg,n/a,316,,FALSE,FALSE,149,201+,201+,151+,n/a,201+,n/a,201+,21.6,20.5,15.9,12.7,n/a,1.4,n/a,6.3
Universidad Galileo ,/universities/universidad-galileo,Latin America,Guatemala,Guatemala City,https://www.topuniversities.com/sites/default/files/universidad-galileo-_592560cf2aeae70239af54f4_small.jpg,n/a,317,,FALSE,FALSE,151+,31,201+,151+,201+,201+,n/a,201+,3.5,93.4,7.8,4.3,1.3,2.7,n/a,1.2
Universidad Interamericana de Puerto Rico,/universities/universidad-interamericana-de-puerto-rico,Latin America,Puerto Rico,Bayamón,https://www.topuniversities.com/sites/default/files/universidad-interamericana-de-puerto-rico_14211_small.jpg,n/a,318,,FALSE,FALSE,151+,201+,156,151+,103,n/a,n/a,201+,10.7,10.5,21.3,9.8,49.9,n/a,n/a,1.4
Universidad Juárez Autónoma de Tabasco (UJAT),/universities/universidad-juarez-autonoma-de-tabasco-ujat,Latin America,Mexico,Villahermosa,https://www.topuniversities.com/sites/default/files/universidad-jurez-autnoma-de-tabasco-ujat_592560cf2aeae70239af54f9_small.jpg,n/a,319,,FALSE,FALSE,151+,177,201+,151+,185,201+,201+,201+,3.4,31.9,6.5,5,21.5,16.6,6.4,6.5
Universidad Militar Nueva Granada,/universities/universidad-militar-nueva-granada,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-militar-nueva-granada_5b5dc6e09ed41920e17ccd76_small.jpg,n/a,320,,FALSE,FALSE,151+,201+,201+,151+,201+,170,201+,175,14.7,15.6,6.5,10.7,11.1,30,4,13.8
Universidad Nacional Pedro Henriquez Urea (UNPHU),/universities/universidad-nacional-pedro-henriquez-urea-unphu,Latin America,Dominican Republic,Santo Domingo,https://www.topuniversities.com/sites/default/files/universidad-nacional-pedro-henriquez-urea-unphu-_592560cf2aeae70239af539b_small.jpg,n/a,321,,FALSE,FALSE,151+,83,201+,151+,201+,201+,n/a,201+,19.4,60.4,9.9,8.4,1.9,6.2,n/a,1.5
Universidad Nacional de Chimborazo,/universities/universidad-nacional-de-chimborazo,Latin America,Ecuador,Riobamba,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-chimborazo_5f17016110ca607597382fc9_small.jpg,n/a,322,,FALSE,FALSE,151+,182,201+,151+,201+,201+,201+,201+,2.5,31.6,8.8,9,13.6,21.3,2.3,8.7
Universidad Nacional de La Matanza,/universities/universidad-nacional-de-la-matanza,Latin America,Argentina,San Justo,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-matanza_592560cf2aeae70239af568e_small.jpg,n/a,323,,FALSE,FALSE,151+,85,201+,151+,201+,201+,201+,201+,12.7,60.2,6.2,7.2,2.2,4.9,1.1,1.6
Universidad Nacional de Misiones,/universities/universidad-nacional-de-misiones,Latin America,Argentina,,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-misiones_592560df9988f300e23209d0_small.jpg,n/a,324,,FALSE,FALSE,151+,201+,201+,151+,n/a,201+,113,201+,2.9,14.3,11.2,16.4,n/a,22,35.3,3.9
Universidad Nacional de Salta,/universities/universidad-nacional-de-salta,Latin America,Argentina,,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-salta_592560df9988f300e23209ca_small.jpg,n/a,325,,FALSE,FALSE,151+,201+,201+,151+,n/a,184,135,201+,8.9,11.3,12.8,15.4,n/a,27.1,29.1,5.7
Universidad Nacional de San Antonio Abad del Cusco,/universities/universidad-nacional-de-san-antonio-abad-del-cusco,Latin America,Peru,Cusco,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-antonio-abad-del-cusco_592560cf2aeae70239af5623_small.jpg,n/a,326,,FALSE,FALSE,151+,201+,201+,151+,n/a,201+,201+,201+,7,5.6,12.5,19.7,n/a,22.8,6.3,8
UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,/universities/universidad-nacional-de-tres-de-febrero,Latin America,Argentina,,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-tres-de-febrero_592560df9988f300e2320983_small.jpg,n/a,327,,FALSE,FALSE,151+,104,201+,151+,n/a,201+,201+,201+,8.4,51.6,14.5,14.6,n/a,6,1,3.7
Universidad Nacional de la Pampa,/universities/universidad-nacional-de-la-pampa,Latin America,Argentina,,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-pampa_592560df9988f300e23209cd_small.jpg,n/a,328,,FALSE,FALSE,n/a,77,201+,151+,n/a,201+,201+,201+,n/a,64,9.7,9.2,n/a,18.1,2.2,6.7
Universidad Nacional del Nordeste (UNNE),/universities/universidad-nacional-del-nordeste-unne,Latin America,Argentina,Corrientes,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-nordeste-unne_592560cf2aeae70239af5508_small.jpg,n/a,329,3,FALSE,FALSE,151+,201+,111,151+,n/a,201+,201+,201+,5.7,19.8,28.8,14,n/a,21.8,2.5,3.4
Universidad Norbert Wiener,/universities/universidad-norbert-wiener,Latin America,Peru,Cercado de Lima,https://www.topuniversities.com/sites/default/files/230208033341pm856128logo-48x48.jpg,n/a,330,4,FALSE,FALSE,n/a,7,201+,151+,201+,201+,201+,201+,n/a,100,4.7,2,5.8,2.2,1.1,1.7
Universidad Privada del Norte,/universities/universidad-privada-del-norte,Latin America,Peru,Trujillo,https://www.topuniversities.com/sites/default/files/220131034949pm329842logo-upn-48x48.jpg,n/a,331,4,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,16.5,4.8,8,15.4,4,14,1,1.9
Universidad Santiago De Cali ,/universities/universidad-santiago-de-cali,Latin America,Colombia,Cali,https://www.topuniversities.com/sites/default/files/universidad-santiago-de-cali-_592560cf2aeae70239af5513_small.jpg,n/a,332,,FALSE,FALSE,151+,201+,201+,151+,201+,193,185,201+,14.6,13.6,15.4,12.3,6.6,24.4,19.5,5.2
Universidad Simón Bolívar (Colombia),/universities/universidad-simon-bolivar-colombia,Latin America,Colombia,Barranquilla,https://www.topuniversities.com/sites/default/files/universidad-simn-bolvar_592560cf2aeae70239af5603_small.jpg,n/a,333,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,9.3,21.7,7.7,15.8,6.7,12,1,4.3
Universidad Tecnológica Centroamericana (UNITEC),/universities/universidad-tecnologica-centroamericana-unitec,Latin America,Honduras,Tegucigalpa,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-centroamericana-unitec_15244_small.jpg,n/a,334,,FALSE,FALSE,135,201+,201+,151+,201+,201+,201+,201+,24.3,20.7,5.3,12.3,3.4,15.8,1.1,4.6
Universidad Tecnológica del Centro,/universities/universidad-tecnologica-del-centro,Latin America,Venezuela,,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-del-centro_592560cf2aeae70239af589f_small.jpg,n/a,335,,FALSE,FALSE,151+,105,201+,151+,201+,n/a,n/a,201+,18.9,51.2,1.8,4.4,3.4,n/a,n/a,1
Universidad de Atacama,/universities/universidad-de-atacama,Latin America,Chile,Copiapo,https://www.topuniversities.com/sites/default/files/universidad-de-atacama_592560cf2aeae70239af5134_small.jpg,n/a,336,,FALSE,FALSE,151+,201+,201+,151+,n/a,141,94,72,6.7,5.3,8.6,6.2,n/a,36.8,41.1,46.6
Universidad de Ciencias Empresariales y Sociales (UCES),/universities/universidad-de-ciencias-empresariales-y-sociales-uces,Latin America,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/universidad-de-ciencias-empresariales-y-sociales-uces_592560cf2aeae70239af54c7_small.jpg,n/a,337,,FALSE,FALSE,125,87,135,151+,n/a,n/a,n/a,201+,26,58.9,24.4,4.4,n/a,n/a,n/a,1
Universidad de Ciencias y Artes de Chiapas,/universities/universidad-de-ciencias-y-artes-de-chiapas,Latin America,Mexico,Reforma,https://www.topuniversities.com/sites/default/files/universidad-de-ciencias-y-artes-de-chiapas_5eeca1495c52f3360e73b4b4_small.jpg,n/a,338,,FALSE,FALSE,151+,135,201+,151+,116,201+,201+,201+,1.7,42,7.5,4,44.4,8.3,13,6.6
Universidad de Nariño ,/universities/universidad-de-narino,Latin America,Colombia,Pasto,https://www.topuniversities.com/sites/default/files/universidad-de-nario-_592560cf2aeae70239af54d6_small.jpg,n/a,339,,FALSE,FALSE,151+,201+,126,151+,201+,201+,201+,201+,7.6,11.7,26,18.3,14.7,8,4.1,8.9
Universidad de Las Américas,/universities/universidad-de-las-americas-chile-udla,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-de-las-amricas-chile-udla_592560e09988f300e2320bbd_small.jpg,n/a,340,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,17.1,11.6,9,11.5,6.3,12.9,2.1,3.3
Universidad del Azuay,/universities/universidad-del-azuay,Latin America,Ecuador,Cuenca,https://www.topuniversities.com/sites/default/files/universidad-del-azuay_592560cf2aeae70239af54e6_small.jpg,n/a,341,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,168,5.7,16.5,11.1,13.6,13.2,19.6,2.2,14.6
Universidad del CEMA,/universities/universidad-del-cema,Latin America,Argentina,Ciudad Autónoma de Buenos Aires,https://www.topuniversities.com/sites/default/files/240515060707pm871518UCEMA-Logo-Caja-48x48.jpg,n/a,342,,FALSE,FALSE,151+,14,201+,151+,n/a,201+,n/a,201+,9.2,99,8.1,4.3,n/a,3,n/a,2.3
Universidade Estadual de Goiàs,/universities/universidade-estadual-de-goias,Latin America,Brazil,Goiânia,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-gois_592560cf2aeae70239af552b_small.jpg,n/a,343,,FALSE,FALSE,151+,52,201+,151+,201+,201+,201+,201+,2.1,76.9,15.2,3.6,17.4,10.3,4.1,5.7
Universidade Estadual do Maranhão,/universities/universidade-estadual-do-maranhao,Latin America,Brazil,São Luís,https://www.topuniversities.com/sites/default/files/universidade-estadual-do-maranho_592560cf2aeae70239af552f_small.jpg,n/a,344,,FALSE,FALSE,151+,201+,201+,151+,122,201+,201+,201+,1.9,25.4,16.6,2.4,41.9,13.1,1.9,8.6
Universidade Luterana do Brasil ,/universities/universidade-luterana-do-brasil,Latin America,Brazil,Canoas,https://www.topuniversities.com/sites/default/files/universidade-luterana-do-brasil-_592560cf2aeae70239af5552_small.jpg,n/a,345,,FALSE,FALSE,151+,201+,201+,151+,n/a,201+,92,201+,11,5.1,11,14.3,n/a,5,41.8,3
Nove de Julho University - UNINOVE,/universities/nove-de-julho-university-uninove,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/universidade-nove-de-julho-uninove_592560cf2aeae70239af5ac7_small.jpg,n/a,346,,FALSE,FALSE,151+,201+,198,151+,157,201+,150,201+,18,6.9,17.1,1.7,30.4,10.6,25.5,3.1
Universidade Potiguar,/universities/universidade-potiguar,Latin America,Brazil,Natal,https://www.topuniversities.com/sites/default/files/universidade-potiguar_24575_small.jpg,n/a,347,,FALSE,FALSE,151+,201+,201+,n/a,126,n/a,57,201+,2.6,1.9,4.1,n/a,40.2,n/a,57.7,7.5
Universidade Veiga de Almeida,/universities/universidade-veiga-de-almeida,Latin America,Brazil,Rio de Janeiro,https://www.topuniversities.com/sites/default/files/universidade-veiga-de-almeida_592560cf2aeae70239af585a_small.jpg,n/a,348,,FALSE,FALSE,151+,201+,201+,n/a,201+,201+,8,201+,3.2,8.7,5.7,n/a,10,2.2,99.3,7.8
Universidade Vila Velha,/universities/universidade-vila-velha,Latin America,Brazil,Vila Velha,https://www.topuniversities.com/sites/default/files/universidade-vila-velha_5c8b39b710ca600bd26f7724_small.jpg,n/a,349,4,FALSE,FALSE,n/a,201+,201+,n/a,127,201+,74,75,n/a,10.1,7.5,n/a,39.4,10.7,50.4,45.1
Universidade do Vale do Itajaí (UNIVALI),/universities/universidade-do-vale-do-itajai-univali,Latin America,Brazil,Itajaí,https://www.topuniversities.com/sites/default/files/universidade-do-vale-do-itaja-univali_592560cf2aeae70239af5aa6_small.jpg,n/a,350,,FALSE,FALSE,151+,201+,159,151+,161,201+,201+,133,5.9,7.4,20.9,3.5,28.3,17.8,11.5,21.8
Universidad Catolica de Manizales,/universities/universidad-catolica-de-manizales,Latin America,Colombia,Manizales,https://www.topuniversities.com/sites/default/files/211011104632pm290718TopUniversities-QS-02-48x48.jpg,n/a,351,3,FALSE,FALSE,151+,201+,201+,151+,201+,n/a,n/a,201+,3.1,20.4,6.1,4.4,10.5,n/a,n/a,6
Corporación Universitaria Minuto de Dios - UNIMINUTO,/universities/corporacion-universitaria-minuto-de-dios-uniminuto,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/corporacin-universitaria-minuto-de-dios-uniminuto_5ab8d86e6ee6c841f64196dd_small.jpg,n/a,352,4,FALSE,FALSE,151+,201+,167,151+,201+,201+,201+,201+,11.9,7.1,20.1,10,3,7,1,2.2
Escuela Superior Politecnica de Chimborazo (ESPOCH),/universities/escuela-superior-politecnica-de-chimborazo-espoch,Latin America,Ecuador,Riobamba,https://www.topuniversities.com/sites/default/files/220222012310pm950778logo-ESPOCH-48x48.jpg,n/a,353,,FALSE,FALSE,n/a,201+,201+,151+,201+,188,176,201+,n/a,13.1,10.9,6.4,9.9,25.1,20.3,5.3
Escuela Superior de Administracion Pública (ESAP),/universities/escuela-superior-de-administracion-publica-esap,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/escuela-superior-de-administracion-pblica-esap_592560cf2aeae70239af52c2_small.jpg,n/a,354,,FALSE,FALSE,151+,201+,201+,151+,201+,n/a,n/a,201+,9.8,16.5,13.6,5.7,4.5,n/a,n/a,1.1
Instituto Tecnológico Metropolitano - ITM ,/universities/instituto-tecnologico-metropolitano-itm,Latin America,Colombia,Medellín,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-metropolitano-itm-_592560cf2aeae70239af5484_small.jpg,n/a,355,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,194,6.9,6.7,7.4,7.8,10.4,11.9,7.3,11.9
Universidad Cristóbal Colón,/universities/universidad-cristobal-colon,Latin America,Mexico,Veracruz,https://www.topuniversities.com/sites/default/files/universidad-cristbal-coln_592560cf2aeae70239af54c3_small.jpg,n/a,356,,FALSE,FALSE,151+,112,201+,151+,n/a,n/a,n/a,201+,5,48.3,2.6,4,n/a,n/a,n/a,4.3
Universidad Autónoma De Occidente ,/universities/universidad-autonoma-de-occidente,Latin America,Colombia,Cali,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-occidente-_592560cf2aeae70239af54a2_small.jpg,n/a,357,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,11,19.1,10.6,8.1,16.1,8.4,3.5,9.5
Universidad Nacional Autónoma de Nicaragua ,/universities/universidad-nacional-autonoma-de-nicaragua,Latin America,Nicaragua,Managua,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-nicaragua-_592560cf2aeae70239af54ae_small.jpg,n/a,358,,FALSE,FALSE,151+,201+,123,151+,n/a,201+,n/a,201+,10.3,3.9,26.4,13.2,n/a,15.7,n/a,1.2
Universidad Autónoma de Guerrero (UAGRO),/universities/universidad-autonoma-de-guerrero-uagro,Latin America,Mexico,Chilpancingo,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-guerrero-uagro_592560cf2aeae70239af54a1_small.jpg,n/a,359,,FALSE,FALSE,151+,201+,201+,151+,148,201+,201+,201+,3.4,8.5,15.3,4.1,34.2,15.1,8.4,7
Universidad Autónoma de Nayarit,/universities/universidad-autonoma-de-nayarit,Latin America,Mexico,Tepic,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-nayarit_592560cf2aeae70239af5693_small.jpg,n/a,360,,FALSE,FALSE,151+,151,201+,151+,201+,201+,201+,201+,1.5,38.6,5.5,4.4,17.1,5.4,8.8,4.8
Universidad Autónoma de Tamaulipas (UAT),/universities/universidad-autonoma-de-tamaulipas-uat,Latin America,Mexico,Ciudad Victoria,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-tamaulipas-uat_592560cf2aeae70239af54a7_small.jpg,n/a,361,,FALSE,FALSE,151+,173,201+,151+,201+,201+,201+,201+,4.4,33.1,6.6,6.3,18.4,11,7.1,4.5
Universidad Autónoma del Carmen (UNACAR),/universities/universidad-autonoma-del-carmen-unacar,Latin America,Mexico,Ciudad del Carmen,https://www.topuniversities.com/sites/default/files/universidad-autnoma-del-carmen-unacar_592560cf2aeae70239af54ab_small.jpg,n/a,362,,FALSE,FALSE,n/a,201+,201+,151+,110,201+,201+,176,n/a,14.9,7,2.2,46,13,11.7,13.6
Universidad Católica Silva Henríquez,/universities/universidad-catolica-silva-henriquez,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-catlica-silva-henrquez_592560cf2aeae70239af54b2_small.jpg,n/a,363,,FALSE,FALSE,151+,201+,201+,151+,n/a,201+,201+,201+,11.1,20.5,6.5,10.9,n/a,6.3,1.3,6.6
Universidad Católica de Cuenca,/universities/universidad-catolica-de-cuenca,Latin America,Ecuador,Cuenca,https://www.topuniversities.com/sites/default/files/universidad-catlica-de-cuenca_5d11bb0310ca605cf7512e4e_small.jpg,n/a,364,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,3.2,12.1,10.9,8.5,5.9,16.5,1,4.8
Universidad Centroamericana (UCA),/universities/universidad-centroamericana-uca,Latin America,Nicaragua,Managua,https://www.topuniversities.com/sites/default/files/universidad-centroamericana-uca_2623_small.jpg,n/a,365,,FALSE,FALSE,151+,201+,201+,151+,n/a,n/a,n/a,201+,9.2,5.9,5.7,9.5,n/a,n/a,n/a,1.2
Universidad Del Quindío ,/universities/universidad-del-quindio,Latin America,Colombia,Armenia,https://www.topuniversities.com/sites/default/files/universidad-del-quindo-_592560cf2aeae70239af5156_small.jpg,n/a,366,,FALSE,FALSE,n/a,201+,201+,151+,201+,201+,201+,201+,n/a,8.9,11.2,12.6,9.2,13.3,4.3,9.6
Universidad Interamericana de Panamá ,/universities/universidad-interamericana-de-panama,Latin America,Panama,Panama City,https://www.topuniversities.com/sites/default/files/universidad-interamericana-de-panam-_592560cf2aeae70239af54f7_small.jpg,n/a,367,,FALSE,FALSE,134,201+,201+,151+,201+,n/a,n/a,201+,24.4,8.3,2.9,9.5,2,n/a,n/a,1.3
Universidad Internacional SEK,/universities/universidad-internacional-sek,Latin America,Ecuador,Distrito Metropolitano de Quito,https://www.topuniversities.com/sites/default/files/logo_a4-002-48x48.jpg,n/a,368,,FALSE,FALSE,151+,201+,201+,151+,156,201+,201+,128,4.3,10.5,3.8,6.8,31,5.6,1.5,22.6
Universidad Internacional del Ecuador UIDE,/universities/universidad-internacional-del-ecuador-uide,Latin America,Ecuador,Quito,https://www.topuniversities.com/sites/default/files/230320095416pm692250UIDE-lf-48x48.jpg,n/a,369,4,FALSE,FALSE,151+,201+,201+,151+,201+,201+,201+,201+,4,17.2,7.4,10.2,5.9,6.7,5.5,7.6
Universidad Latina de Panamà,/universities/universidad-latina-de-panama,Latin America,Panama,Panama City,https://www.topuniversities.com/sites/default/files/universidad-latina-de-panam_592560cf2aeae70239af54fc_small.jpg,n/a,370,,FALSE,FALSE,140,201+,201+,151+,n/a,201+,n/a,201+,23.3,4,2.7,8.9,n/a,2,n/a,1.3
Universidad Mayor de San Francisco Xavier,/universities/universidad-mayor-de-san-francisco-xavier,Latin America,Bolivia,,https://www.topuniversities.com/sites/default/files/universidad-mayor-de-san-francisco-xavier_592560df9988f300e23209e5_small.jpg,n/a,371,,FALSE,FALSE,151+,201+,201+,151+,201+,201+,n/a,201+,6.9,2.7,6.4,18.3,1.9,1.5,n/a,1.4
