University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Diversity Rank,Entrepreneurship & Alumni Outcomes Rank,Return On Investment Rank,Thought Leadership Rank,Employability Score,Diversity Score,Entrepreneurship & Alumni Outcomes Score,Return On Investment Score,Thought Leadership Score
Deakin Business School,/universities/deakin-university/deakin-business-school,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/profiles/logos/deakin-business-school_592560cf2aeae70239af5927_small.jpg,36,210,,False,False,201-250,151-200,151-200,251+,151-200,34.3,59.8,41,39.3,44.9
Denver (Daniels),/universities/university-denver,North America,United States,Denver (CO),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-denvers-daniels-college-of-business_12136_small.jpg,35.7,211,,False,False,151-200,201-250,151-200,201-250,201-250,37.2,48.4,41.3,43,38.1
EADA Business School,/universities/eada-business-school-barcelona,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/eada-business-school-barcelona_721_small.jpg,39.5,212,,False,False,=93,=96,251+,251+,201-250,52,68.5,30.2,27.5,37.1
ESAN Graduate School of Business,/universities/esan-graduate-school-business-esan-university,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/profiles/logos/esan-graduate-school-of-business_592560cf2aeae70239af5848_small.jpg,38,213,,False,False,151-200,251+,151-200,151-200,251+,40.4,32.7,39.4,57.6,35
Edinburgh Napier University,/universities/edinburgh-napier-university,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/profiles/logos/ENU-logo-Stacked-200x200px-48x48.jpg,34.4,214,,False,False,251+,151-200,251+,151-200,201-250,29.5,61.7,27.2,55.6,39.5
Exeter Business School,/universities/university-exeter/university-exeter-business-school,Europe,United Kingdom,Exeter,https://www.topuniversities.com/sites/default/files/profiles/logos/230821123018pm419370uebs-simplified-portrait-200x200-48x48.jpg,36.9,215,,False,False,251+,=35,201-250,201-250,151-200,29.6,78.2,32,50.1,44.9
Fox School of Business,/universities/temple-university/fox-school-business-management,North America,United States,Philadelphia (PA),https://www.topuniversities.com/sites/default/files/profiles/logos/temple-university_592560cf2aeae70239af559e_small.jpg,36.6,216,,False,False,151-200,251+,251+,151-200,141-150,37.6,33.6,23,57.9,49.7
Haskayne School of Business,/universities/university-calgary/haskayne-school-business-university-calgary,North America,Canada,Calgary,https://www.topuniversities.com/sites/default/files/profiles/logos/haskayne-school-of-business-university-of-calgary-_14535_small.jpg,35.3,217,,False,False,151-200,87,201-250,251+,151-200,39,69.2,37.3,24.9,45.6
Houston (Bauer),/universities/university-houston-0,North America,United States,Houston (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-houston_592560cf2aeae70239af5722_small.jpg,36.8,218,,False,False,151-200,151-200,111-120,251+,151-200,37.7,61.2,49.5,27,47
International Management Institute - Delhi,/universities/international-management-institute-delhi,Asia,India,Delhi,https://www.topuniversities.com/sites/default/files/profiles/logos/230927014214pm244303download-48x48.jpg,35.3,219,,False,False,251+,251+,251+,=93,201-250,25.8,27.9,29.2,80.9,41.3
Kazan Federal University,/universities/kazan-volga-region-federal-university/higher-school-business,Europe,Russia,Kazan,https://www.topuniversities.com/sites/default/files/profiles/logos/higher-school-of-business_5f44cba110ca60425d3c86c7_small.jpg,34.1,220,,False,True,251+,201-250,131-140,151-200,201-250,24.5,49.7,47.7,54.5,40.7
La Trobe Business School,/universities/la-trobe-university/la-trobe-business-school,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/profiles/logos/15061_small.jpg,39.5,221,,False,False,201-250,30,151-200,201-250,151-200,32.2,79.8,45.1,43.5,46.5
Loughborough School of Business and Economics,/universities/loughborough-university/loughborough-business-school,Europe,United Kingdom,Loughborough,https://www.topuniversities.com/sites/default/files/profiles/logos/231020011639pm502336Business-School-social-icon-final-4-2023%255B4%255D-48x48.jpg,36.7,222,,False,False,251+,=88,251+,201-250,131-140,29.8,69.1,30.9,49.4,50.8
MGIMO School of Business and International Proficiency,/universities/mgimo-university/school-business-international-proficiency-mgimo-university,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-business-and-international-proficiency_5e6145f710ca60399877fae6_small.jpg,36.1,223,,False,True,201-250,151-200,61,201-250,251+,31.1,60.4,59.1,45.9,26.6
