University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Inbound Exchange Rank,Papers per Faculty Rank,Employer Reputation Rank,Faculty Student Ratio Rank,International Students Rank,Citations per Paper Rank,International Faculty Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,Outbound Exchange Rank,International Research Network Score,Inbound Exchange Score,Papers per Faculty Score,Employer Reputation Score,Faculty Student Ratio Score,International Students Score,Citations per Paper Score,International Faculty Score,Academic Reputation Score,Faculty Staff with PhD Score,Outbound Exchange Score
Kyung Hee University,/universities/kyung-hee-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/230330065433am364143%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-48x48.jpg,68.1,38,,False,False,68,27,301+,72,55,39,130,176,64,81,36,82,97.5,15,63.6,89.1,82.6,53.5,31.4,54.4,92.2,93.4
National Tsing Hua University,/universities/national-tsing-hua-university,Asia,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,67.3,39,,False,False,123,301+,139,31,240,93,193,150,36,107,258,60,3.2,43.1,88.4,31.4,49.5,36.4,36.1,80.9,84.6,15.8
Indian Institute of Technology Bombay (IITB),/universities/indian-institute-technology-bombay-iitb,Asia,India,Mumbai,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg,67.2,40,,False,False,107,301+,21,19,301+,301+,301+,301+,33,41,301+,66.3,2.1,95.7,96,14.8,3,9.3,11.1,83.5,100,4.1
National Cheng Kung University (NCKU),/universities/national-cheng-kung-university-ncku,Asia,Taiwan,Tainan City,https://www.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-48x48.jpg,66.6,41,,False,False,88,202,195,28,217,107,272,107,44,130,163,72.4,18.7,30.5,90.4,35.2,45,21.2,46.8,77.9,74.2,28.6
Taylor's University,/universities/taylors-university,Asia,Malaysia,Subang Jaya,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg,66.6,42,5,False,False,157,62,301+,26,41,16,69,43,78,301+,20,45.2,77.3,9.5,92,92.4,99.7,76.4,79.7,45.8,1.1,99.5
Waseda University,/universities/waseda-university,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg,65.3,43,,False,False,65,171,301+,6,271,65,301+,87,27,301+,185,82.9,22.9,8.5,99.6,26.3,60.6,5.5,52.3,86.1,1.6,25.4
Chulalongkorn University,/universities/chulalongkorn-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/chulalongkorn-university_592560cf2aeae70239af4b01_small.jpg,65.1,44,,False,False,15,224,301+,66,218,301+,301+,167,23,123,239,97.9,15.6,11.5,66,35.1,9.9,15.1,32.9,90.8,77.8,17.9
Keio University,/universities/keio-university,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg,64.1,45,,False,False,103,175,301+,14,120,156,301+,234,42,301+,280,68.2,22.2,10.4,98.7,63.6,29.1,12.8,22.4,79,1,14
Indian Institute of Technology Delhi (IITD),/universities/indian-institute-technology-delhi-iitd,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg,64,46,,False,False,124,301+,44,24,284,301+,301+,301+,41,126,301+,59.7,2.1,83.3,93.1,24.1,3.4,14.2,5,79.4,75.4,4.3
National Yang Ming Chiao Tung University,/universities/national-yang-ming-chiao-tung-university,Asia,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/230525091126am408938230525%40400x-100-48x48.jpg,63.1,47,,False,False,146,241,78,36,116,99,301+,130,62,57,186,49.3,13.8,70.8,87.1,64.6,47,15.9,39.7,59.1,97.2,25.1
Universitas Indonesia,/universities/universitas-indonesia,Asia,Indonesia,Depok,https://www.topuniversities.com/sites/default/files/universitas-indonesia_290_small.jpg,62.9,48,,False,False,228,21,301+,37,99,253,301+,34,40,301+,9,28.1,99.3,9.8,87,70.4,17,1,93,79.5,1,100
"Sun Yat-sen University, Guangzhou",/universities/sun-yat-sen-university-guangzhou,Asia,China (Mainland),Guangzhou,https://www.topuniversities.com/sites/default/files/sun-yat-sen-university_888_small.jpg,61.4,49,,False,False,28,249,206,116,146,278,40,301+,53,45,301+,93.9,12.8,29,40.2,53.9,14.8,90.1,5,63,100,1.2
Tongji University,/universities/tongji-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/tongji-university_617_small.jpg,61.4,50,,False,False,55,23,43,164,204,59,100,39,59,161,5,86.8,99.3,83.3,24.9,37.7,65,63.7,81.7,60.4,65,100
Mahidol University,/universities/mahidol-university,Asia,Thailand,Nakhon Pathom,https://www.topuniversities.com/sites/default/files/mahidol-university_381_small.jpg,58.4,51,5,False,False,93,53,301+,103,68,240,301+,301+,47,106,98,70.9,81.2,8.6,44.4,82.7,17.9,9.7,14.4,70.3,84.8,53.9
Beijing Normal University ,/universities/beijing-normal-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/beijing-normal-university_869_small.jpg,56.9,52,,False,False,51,288,88,225,260,79,59,294,51,70,156,88,9.9,68.5,17.2,28.4,54,80.5,16.9,65.6,94.6,29.7
Indian Institute of Technology Madras (IITM),/universities/indian-institute-technology-madras-iitm,Asia,India,Chennai,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-madras-iitm_286_small.jpg,56.8,53,,False,False,190,301+,49,47,252,301+,301+,301+,49,=1,301+,36.1,4.7,82,79.5,29.5,3.2,8.8,5.5,68.7,100,7.7
Gadjah Mada University,/universities/gadjah-mada-university,Asia,Indonesia,Yogyakarta,https://www.topuniversities.com/sites/default/files/gadjah-mada-university_219_small.jpg,56.6,54,,False,False,225,95,301+,44,134,301+,301+,65,37,301+,148,28.4,51.7,5.7,81.6,59.8,4.2,1,65.4,80.1,1,30.8
University of Tsukuba,/universities/university-tsukuba,Asia,Japan,Tsukuba City,https://www.topuniversities.com/sites/default/files/university-of-tsukuba_592560cf2aeae70239af4cf7_small.jpg,56,55,,False,False,33,231,179,112,118,87,301+,181,54,111,164,93.3,14.6,33.7,41,64.5,51,11.6,30.6,62.4,82.8,28.5
Huazhong University of Science and Technology,/universities/huazhong-university-science-technology,Asia,China (Mainland),Wuhan,https://www.topuniversities.com/sites/default/files/huazhong-university-of-science-and-technology_592560cf2aeae70239af5256_small.jpg,55.8,56,,False,False,18,242,37,94,301+,301+,32,301+,85,139,154,97.2,13.7,86.4,48.6,10.7,11.3,94.4,13.2,43.7,72,30
Harbin Institute of Technology,/universities/harbin-institute-technology,Asia,China (Mainland),Harbin,https://www.topuniversities.com/sites/default/files/harbin-institute-of-technology_877_small.jpg,54.9,57,,False,False,49,243,22,144,184,167,105,252,67,164,143,88.4,13.4,95.6,30.9,43.4,27.2,62,20.2,53.1,63.4,33.1
Indian Institute of Science,/universities/indian-institute-science,Asia,India,Bangalore,https://www.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg,54.8,58,,False,False,148,301+,4,123,172,301+,247,301+,45,=1,301+,49.2,6.1,100,37.8,45.2,4.8,24.6,7.3,72.4,100,3.6
Indian Institute of Technology Kharagpur (IIT-KGP),/universities/indian-institute-technology-kharagpur-iit-kgp,Asia,India,Kharagpur,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-kharagpur-iit-kgp_285_small.jpg,54.5,59,,False,False,90,301+,29,64,301+,301+,275,301+,63,=1,301+,71.8,1.3,93.5,66.6,12.7,2.7,20.9,7.1,57.9,100,10.2
Bandung Institute of Technology (ITB),/universities/bandung-institute-technology-itb,Asia,Indonesia,Bandung,https://www.topuniversities.com/sites/default/files/bandung-institute-of-technology-itb_41_small.jpg,54,60,,False,False,301+,196,301+,46,92,301+,301+,29,50,231,301+,13,19.9,11.3,81,72.5,7.7,1.1,96.5,68.4,34.3,6.7
Tianjin University,/universities/tianjin-university,Asia,China (Mainland),Tianjin,https://www.topuniversities.com/sites/default/files/tianjin-university_609_small.jpg,53.8,61,,False,False,61,19,32,193,145,91,72,103,108,208,30,84.2,99.9,90.6,21.3,54,50.2,75.9,47.8,37.1,41.9,96
UCSI University,/universities/ucsi-university,Asia,Malaysia,Kuala Lumpur,https://www.topuniversities.com/sites/default/files/ucsi-university_592560e09988f300e2320ce5_small.jpg,53.8,62,,False,False,301+,7,301+,48,52,17,241,30,102,301+,33,14.3,100,5,79.2,90.1,99.6,25.9,96.2,39.4,1.2,94.5
Indian Institute of Technology Kanpur (IITK),/universities/indian-institute-technology-kanpur-iitk,Asia,India,Kanpur,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-kanpur-iitk_592560cf2aeae70239af4ba5_small.jpg,53.4,63,,False,False,166,301+,33,54,301+,301+,301+,301+,55,=1,301+,41.8,6.2,90.4,73.6,15.5,1.7,14.9,4.2,61.5,100,3.7
Ewha Womans University,/universities/ewha-womans-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/ewha-womans-university_592560cf2aeae70239af4b38_small.jpg,53.3,64,,False,False,264,66,301+,110,70,92,140,272,68,52,76,21.8,76.1,8.8,41.6,82.5,49.5,50.7,18.5,52.9,98.5,65
Hong Kong Baptist University,/universities/hong-kong-baptist-university,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/hong-kong-baptist-university_893_small.jpg,53.3,65,,False,False,195,88,199,171,77,7,28,20,99,182,57,34.5,55.7,30.2,24.5,78.3,100,95.2,99.8,40.1,52.8,79.8
National University of Sciences And Technology (NUST) Islamabad,/universities/national-university-sciences-technology-nust-islamabad,Asia,Pakistan,Islamabad,https://www.topuniversities.com/sites/default/files/national-university-of-sciences-and-technology-nust-islamabad_698_small.jpg,53.3,66,,False,False,48,301+,301+,34,71,296,229,301+,106,301+,301+,88.6,2.1,16.7,88.1,82.5,13.7,26.8,5.7,37.4,1,9.6
Airlangga University,/universities/airlangga-university,Asia,Indonesia,Surabaya,https://www.topuniversities.com/sites/default/files/logo-UNAIR-200px-x-200px-01-48x48.jpeg,53.1,67,,False,False,301+,59,301+,41,102,242,301+,53,56,301+,77,16.1,78.4,5.3,84.9,68.5,17.8,1,71.6,61.4,1,64.8
Xi’an Jiaotong University,/universities/xian-jiaotong-university,Asia,China (Mainland),Xi'an,https://www.topuniversities.com/sites/default/files/xian-jiaotong-university_683_small.jpg,52.9,68,,False,False,26,301+,64,67,301+,281,122,301+,92,196,248,95.1,8.3,74,65.8,18.3,14.7,56.1,10.3,41.5,46.8,16.5
Universiti Teknologi PETRONAS (UTP),/universities/universiti-teknologi-petronas-utp,Asia,Malaysia,Seri Iskandar,https://www.topuniversities.com/sites/default/files/universiti-teknologi-petronas-utp_592560cf2aeae70239af4ef2_small.jpg,52.8,69,,False,False,47,44,35,90,167,100,289,28,112,286,63,89.1,90.6,88,52.4,46.9,47,19.3,96.8,36.1,14.5,77.7
Chung-Ang University (CAU),/universities/chung-ang-university-cau,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/chung-ang-university-cau_1042_small.jpg,52,70,,False,False,253,50,301+,81,85,51,223,180,89,77,42,23.8,86.6,12.2,57.5,75.1,68.7,28.8,30.6,42,92.8,89.1
L.N. Gumilyov Eurasian National University (ENU),/universities/ln-gumilyov-eurasian-national-university-enu,Asia,Kazakhstan,Astana,https://www.topuniversities.com/sites/default/files/l.n.-gumilyov-eurasian-national-university-enu_592560cf2aeae70239af52e8_small.jpg,50,71,4,False,False,301+,232,301+,56,23,226,301+,37,61,301+,236,8.5,14.5,2.9,73,96.7,19.7,1.1,83.5,59.3,9.7,18.5
Universiti Brunei Darussalam (UBD),/universities/universiti-brunei-darussalam-ubd,Asia,Brunei,Bandar Seri Begawan,https://www.topuniversities.com/sites/default/files/universiti-brunei-darussalam-ubd_22212_small.jpg,49.3,72,,False,False,209,3,301+,165,17,34,301+,15,93,85,2,31.4,100,14.9,24.9,98,88.9,10.7,100,41.2,91.6,100
Ulsan National Institute of Science and Technology (UNIST),/universities/ulsan-national-institute-science-technology-unist,Asia,South Korea,Ulsan,https://www.topuniversities.com/sites/default/files/ulsan-national-institute-of-science-and-technology-unist_5ba37add9ed419611e043517_small.jpg,49.1,73,,False,False,301+,301+,89,192,38,133,7,59,117,26,301+,12.8,3.3,67.1,21.3,93.8,33.1,99.8,68.4,34.4,100,2
National Taiwan University of Science and Technology (Taiwan Tech),/universities/national-taiwan-university-science-technology-taiwan-tech,Asia,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-taiwan-university-of-science-and-technology-taiwan-tech_590_small.jpg,48.8,74,,False,False,236,58,168,78,168,63,234,141,71,242,124,26.2,78.5,35.2,59.8,46.7,63.8,26.7,37.2,50.4,32.2,41.2
Xiamen University,/universities/xiamen-university,Asia,China (Mainland),Xiamen,https://www.topuniversities.com/sites/default/files/xiamen-university_891_small.jpg,48.7,75,,False,False,43,61,146,194,301+,301+,34,301+,74,251,215,89.9,77.8,40.6,21.2,22.1,12,93.6,13,48.6,27.4,20.8
Kobe University,/universities/kobe-university,Asia,Japan,Kobe City,https://www.topuniversities.com/sites/default/files/kobe-university_320_small.jpg,48.5,76,,False,False,106,301+,218,79,132,180,301+,287,69,215,301+,66.8,4.4,26.8,59.5,60.4,25.4,6.9,17.5,52.4,40.6,4
Sejong University,/universities/sejong-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/sejong-university_1094_small.jpg,48.5,77,,False,False,36,113,156,138,301+,70,21,101,136,173,116,92.1,40.3,38.1,32.4,16,58.4,98.6,48.2,29.6,58.7,45.3
University of the Philippines,/universities/university-philippines,Asia,Philippines,Quezon City,https://www.topuniversities.com/sites/default/files/university-of-the-philippines_498_small.jpg,48,78,,False,False,102,301+,301+,51,207,301+,301+,301+,57,301+,301+,68.4,1.4,3.5,77.7,37.4,1.8,2.4,2.9,61.2,1,1.3
National Taiwan Normal University,/universities/national-taiwan-normal-university,Asia,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_small.jpg,47.8,79,,False,False,280,55,301+,122,97,71,301+,173,58,216,82,20,79.2,8.9,38.2,71.1,58.4,17.5,32,60.6,40,63.4
Southern University of Science and Technology (SUSTech),/universities/southern-university-science-technology-sustech,Asia,China (Mainland),Shenzhen,https://www.topuniversities.com/sites/default/files/220530064029am250629Screenshot-at-May-30-14-39-50-48x48.jpg,47.8,80,,False,False,120,16,76,251+,35,301+,19,68,236,37,138,60.4,100,71.8,3.6,94.4,3.9,98.7,64,17.4,100,36
