University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Academic Reputation Rank,H-index Citations Rank,Employer Reputation Rank,Citations per Paper Rank,International Research Network Score,Academic Reputation Score,H-index Citations Score,Employer Reputation Score,Citations per Paper Score
Justus-Liebig-University Giessen,/universities/justus-liebig-university-giessen,Europe,Germany,Giessen,https://www.topuniversities.com/sites/default/files/justus-liebig-university-giessen_592560cf2aeae70239af4b68_small.jpg,60.8,334,,False,False,115,352,342,401+,308,70.5,59.5,53.6,41,75.6
Ulm University,/universities/ulm-university,Europe,Germany,Ulm,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg,60.7,335,,False,False,331,401+,195,401+,151,57.3,52,63.4,47.8,83.5
Université Paul Sabatier Toulouse III,/universities/universite-paul-sabatier-toulouse-iii,Europe,France,Toulouse,https://www.topuniversities.com/sites/default/files/universit-paul-sabatier-toulouse-iii_622_small.jpg,60.7,336,,False,False,243,327,304,401+,244,62.7,60.7,56,31.5,79
Philipps-Universität Marburg ,/universities/philipps-universitat-marburg,Europe,Germany,Marburg,https://www.topuniversities.com/sites/default/files/philipps-universitt-marburg_392_small.jpg,60.6,337,,False,False,329,371,287,401+,275,57.4,58.4,57.3,45.6,77.4
Kyung Hee University,/universities/kyung-hee-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/230330065433am364143%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-48x48.jpg,60.5,338,,False,False,401+,274,337,265,359,40.3,63.1,54,58.7,73
Swansea University,/universities/swansea-university,Europe,United Kingdom,Swansea,https://www.topuniversities.com/sites/default/files/220308050407pm529761Swansea-Uni-logo-200x200-photo-48x48.jpg,60.5,339,,False,False,376,362,308,116,401+,53.9,59.1,55.7,68.7,67.5
Ruhr-Universität Bochum,/universities/ruhr-universitat-bochum,Europe,Germany,Bochum,https://www.topuniversities.com/sites/default/files/ruhr-universitt-bochum_537_small.jpg,60.4,340,,False,False,352,401+,283,401+,193,55.8,55.2,57.9,48.4,81.5
University of Kwazulu-Natal,/universities/university-kwazulu-natal,Africa,South Africa,Pinetown,https://www.topuniversities.com/sites/default/files/university-of-kwazulu-natal_433_small.jpg,60.4,341,,False,False,226,401+,269,386,382,63.4,57.1,59,51.9,70.9
"University of Missouri, Columbia",/universities/university-missouri-columbia,North America,United States,Columbia,https://www.topuniversities.com/sites/default/files/university-of-missouri-columbia_409_small.jpg,60.4,342,,False,False,328,375,351,317,301,57.5,58.3,52.6,55.9,76
University of South Australia,/universities/university-south-australia,Oceania,Australia,Adelaide,https://www.topuniversities.com/sites/default/files/university-of-south-australia_566_small.jpg,60.4,343,5,False,False,401+,289,370,345,339,48.7,62.5,51.4,54.6,73.9
Temple University,/universities/temple-university,North America,United States,Philadelphia,https://www.topuniversities.com/sites/default/files/temple-university_592560cf2aeae70239af4cdd_small.jpg,60.3,344,,False,False,269,401+,279,401+,156,61.1,52.3,58.2,49.8,83.2
Academy of Sciences of the Czech Republic,/universities/academy-sciences-czech-republic,Europe,Czechia,Prague,https://www.topuniversities.com/sites/default/files/academy-of-sciences-of-the-czech-republic_9_small.jpg,60.2,345,,False,False,126,375,370,357,381,69.6,58.3,51.4,53.9,71
Georgia Institute of Technology,/universities/georgia-institute-technology,North America,United States,Atlanta,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,60.1,346,,False,False,398,401+,401+,84,331,52.3,57.3,49,72.4,74.4
"The University of Tennessee, Knoxville",/universities/university-tennessee-knoxville,North America,United States,Knoxville,https://www.topuniversities.com/sites/default/files/the-university-of-tennessee-knoxville_603_small.jpg,60.1,347,,False,False,401+,401+,217,401+,237,51.4,54.2,62.2,49.5,79.6
James Cook University,/universities/james-cook-university,Oceania,Australia,Townsville,https://www.topuniversities.com/sites/default/files/220112080628am351672jcu-48x48.jpg,60,348,5,False,False,346,326,331,401+,384,56.2,60.8,54.3,50.1,70.8
Martin-Luther-Universität Halle-Wittenberg,/universities/martin-luther-universitat-halle-wittenberg,Europe,Germany,Halle,https://www.topuniversities.com/sites/default/files/martin-luther-universitt-halle-wittenberg_245_small.jpg,60,349,,False,False,193,364,319,398,401+,65.6,59,55.4,50.9,68.3
Technion - Israel Institute of Technology,/universities/technion-israel-institute-technology,Asia,Israel,Haifa,https://www.topuniversities.com/sites/default/files/technion-israel-institute-of-technology_600_small.jpg,60,350,,False,False,401+,390,276,336,361,51.3,57.7,58.5,55.1,72.9
Universidade de Santiago de Compostela,/universities/universidade-de-santiago-de-compostela,Europe,Spain,Santiago de Compostela,https://www.topuniversities.com/sites/default/files/universidade-de-santiago-de-compostela_547_small.jpg,60,351,,False,False,234,360,384,339,369,63,59.2,50.6,54.9,72.2
University of Belgrade,/universities/university-belgrade,Europe,Serbia,Belgrade,https://www.topuniversities.com/sites/default/files/university-of-belgrade_2243_small.jpg,60,352,,False,False,160,401+,172,401+,392,67.6,54.8,65.1,42.8,70.2
University of Reading,/universities/university-reading,Europe,United Kingdom,Reading,https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg,60,353,,False,False,401+,208,401+,172,401+,48.4,67,46.8,64.9,62.5
Universitas Indonesia,/universities/universitas-indonesia,Asia,Indonesia,Depok,https://www.topuniversities.com/sites/default/files/universitas-indonesia_290_small.jpg,59.9,354,,False,False,401+,136,401+,68,401+,45.2,72.1,44.3,73.9,51.6
"University of Rome ""Tor Vergata""",/universities/university-rome-tor-vergata,Europe,Italy,Rome,https://www.topuniversities.com/sites/default/files/university-of-rome-tor-vergata_592560cf2aeae70239af4c99_small.jpg,59.9,355,,False,False,371,401+,351,255,259,54.3,56.1,52.6,59.3,78.1
Alexandria University ,/universities/alexandria-university,Africa,Egypt,Alexandria,https://www.topuniversities.com/sites/default/files/alexandria-university_1209_small.jpg,59.8,356,,False,False,141,256,401+,192,401+,68.6,64.2,43.3,63.5,61.3
Tulane University,/universities/tulane-university,North America,United States,New Orleans,https://www.topuniversities.com/sites/default/files/tulane-university_631_small.jpg,59.8,357,,False,False,232,401+,263,401+,294,63.1,54.9,59.3,43.8,76.4
