University Name,Path,Absolute Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Faculty Rank,International Students Ratio Rank,Faculty Student Ratio Rank,International Faculty Ratio Rank,Academic Reputation Rank,Sustainability Rank,International Research Network Rank,Employment Outcomes Rank,Employer Reputation Rank,Citations per Faculty Score,International Students Ratio Score,Faculty Student Ratio Score,International Faculty Ratio Score,Academic Reputation Score,Sustainability Score,International Research Network Score,Employment Outcomes Score,Employer Reputation Score
Hong Kong Baptist University,/universities/hong-kong-baptist-university,https://www.topuniversities.com/universities/hong-kong-baptist-university,Asia,Hong Kong SAR,Hong Kong,https://staging.topuniversities.com/sites/default/files/hong-kong-baptist-university_893_small.jpg,40.3,253,,FALSE,FALSE,192,19,242,109,499,291,701+,641,601+,61.4,100,60,98.9,18.2,54.4,37,15.7,12
University of Göttingen,/universities/university-gottingen,https://www.topuniversities.com/universities/university-gottingen,Europe,Germany,Göttingen,https://staging.topuniversities.com/sites/default/files/university-of-gttingen_234_small.jpg,40.3,254,,FALSE,FALSE,620,512,156,369,175,428,76,317,355,16.2,22.4,76.4,49.7,46.4,32.1,95.1,40.3,27.1
Griffith University,/universities/griffith-university,https://www.topuniversities.com/universities/griffith-university,Oceania,Australia,Nathan,https://staging.topuniversities.com/sites/default/files/griffith-university_242_small.jpg,40.1,255,,FALSE,FALSE,187,363,701+,90,324,40,135,602,593,62.5,38.5,8.4,99.8,27,96.4,92.1,17.9,13.7
Bandung Institute of Technology (ITB),/universities/bandung-institute-technology-itb,https://www.topuniversities.com/universities/bandung-institute-technology-itb,Asia,Indonesia,Bandung,https://staging.topuniversities.com/sites/default/files/bandung-institute-of-technology-itb_41_small.jpg,39.9,256,,FALSE,FALSE,701+,701+,266,158,197,388,701+,260,95,2.6,3.8,55.8,94.4,43.2,37.6,26.3,49.2,72.7
Heriot-Watt University,/universities/heriot-watt-university,https://www.topuniversities.com/universities/heriot-watt-university,Europe,United Kingdom,Edinburgh,https://staging.topuniversities.com/sites/default/files/heriot-watt-university_592560cf2aeae70239af4d5f_small.jpg,39.9,257,,FALSE,FALSE,171,69,701+,79,507,483,402,451,356,65.2,98.1,17.6,100,17.8,25.7,75.4,26.3,27.1
University of Warsaw,/universities/university-warsaw,https://www.topuniversities.com/universities/university-warsaw,Europe,Poland,Warsaw,https://staging.topuniversities.com/sites/default/files/221121121702pm909597logo-University-of-Warsaw-48x48.jpg,39.8,258,,FALSE,FALSE,701+,701+,330,701+,163,222,262,203,158,5.5,8.4,46.4,10.5,50,69.8,84.1,60,53.6
Case Western Reserve University,/universities/case-western-reserve-university,https://www.topuniversities.com/universities/case-western-reserve-university,North America,United States,Cleveland,https://staging.topuniversities.com/sites/default/files/case-western-reserve-university_102_small.jpg,39.7,259,,FALSE,FALSE,191,205,119,447,523,298,681,424,546,61.6,71.7,82.3,35.7,17.2,53.1,55.6,29.3,15.4
University of Lisbon ,/universities/university-lisbon,https://www.topuniversities.com/universities/university-lisbon,Europe,Portugal,Lisbon,https://staging.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg,39.6,260,,FALSE,FALSE,376,356,701+,701+,193,217,23,57,443,36.5,39.4,10.7,9,44,70.9,98.2,94,20.7
United Arab Emirates University,/universities/united-arab-emirates-university,https://www.topuniversities.com/universities/united-arab-emirates-university,Asia,United Arab Emirates,Al Ain,https://staging.topuniversities.com/sites/default/files/united-arab-emirates-university_778_small.jpg,39.4,261,5,FALSE,FALSE,612,396,312,19,295,393,230,111,247,16.6,34.2,49.8,100,30.1,36.6,86.2,82,38.3
University of Canterbury | Te Whare Wānanga o Waitaha,/universities/university-canterbury-te-whare-wananga-o-waitaha,https://www.topuniversities.com/universities/university-canterbury-te-whare-wananga-o-waitaha,Oceania,New Zealand,Christchurch,https://staging.topuniversities.com/sites/default/files/university-of-canterbury_97_small.jpg,39.4,262,5,FALSE,FALSE,419,449,701+,77,253,86,585,109,352,31.4,27.7,10.4,100,34.7,91.1,63,82.3,27.3
Indian Institute of Technology Kanpur (IITK),/universities/indian-institute-technology-kanpur-iitk,https://www.topuniversities.com/universities/indian-institute-technology-kanpur-iitk,Asia,India,Kanpur,https://staging.topuniversities.com/sites/default/files/indian-institute-of-technology-kanpur-iitk_592560cf2aeae70239af4ba5_small.jpg,39.3,263,,FALSE,FALSE,142,701+,701+,701+,234,516,701+,567,142,73.3,1.1,14,2.6,36.9,22,38.8,19.6,56.9
Norwegian University of Science And Technology,/universities/norwegian-university-science-technology,https://www.topuniversities.com/universities/norwegian-university-science-technology,Europe,Norway,Trondheim,https://staging.topuniversities.com/sites/default/files/norwegian-university-of-science-and-technology_457_small.jpg,39.1,264,,FALSE,FALSE,435,701+,629,264,264,121,89,79,378,30.4,9.3,22.3,75.1,33.2,85.8,94.4,89.4,25.2
UCSI University,/universities/ucsi-university,https://www.topuniversities.com/universities/ucsi-university,Asia,Malaysia,Kuala Lumpur,https://staging.topuniversities.com/sites/default/files/ucsi-university_592560e09988f300e2320ce5_small.jpg,38.8,265,,FALSE,FALSE,701+,91,150,196,326,462,701+,701+,120,3.6,95.8,78.1,89.1,27,27.9,37.6,10.2,65.1
Universitat Pompeu Fabra (Barcelona),/universities/universitat-pompeu-fabra,https://www.topuniversities.com/universities/universitat-pompeu-fabra,Europe,Spain,Barcelona,https://staging.topuniversities.com/sites/default/files/universitat-pompeu-fabra_504_small.jpg,38.8,266,,FALSE,FALSE,163,482,701+,259,279,462,421,626,319,67.1,24.5,12.1,75.6,31.7,27.9,74,16.4,29.4
University of Antwerp,/universities/university-antwerp,https://www.topuniversities.com/universities/university-antwerp,Europe,Belgium,Antwerp,https://staging.topuniversities.com/sites/default/files/220301072725am708442Logo-UAntwerpen-48x48.jpg,38.7,267,,FALSE,FALSE,278,415,427,157,361,190,85,284,601+,48.1,32,37.5,94.4,24.1,74.8,94.6,44.8,11.3
University of Witwatersrand,/universities/university-witwatersrand,https://www.topuniversities.com/universities/university-witwatersrand,Africa,South Africa,Johannesburg,https://staging.topuniversities.com/sites/default/files/university-of-the-witwatersrand_679_small.jpg,38.7,268,,FALSE,FALSE,432,701+,701+,263,332,127,46,18,223,30.5,5.8,8.9,75.1,26.5,84.8,96.8,98.9,42.1
Tianjin University,/universities/tianjin-university,https://www.topuniversities.com/universities/tianjin-university,Asia,China (Mainland),Tianjin,https://staging.topuniversities.com/sites/default/files/tianjin-university_609_small.jpg,38.6,269,,FALSE,FALSE,18,473,407,538,527,563,554,392,597,99.5,25.4,38.8,24.8,17.2,16.9,65.2,32.4,13.5
Universiti Teknologi PETRONAS (UTP),/universities/universiti-teknologi-petronas-utp,https://www.topuniversities.com/universities/universiti-teknologi-petronas-utp,Asia,Malaysia,Seri Iskandar,https://staging.topuniversities.com/sites/default/files/universiti-teknologi-petronas-utp_592560cf2aeae70239af4ef2_small.jpg,38.6,270,,FALSE,FALSE,117,537,412,224,458,549,577,701+,341,79,20.1,38.5,83.9,19.5,18.4,63.9,4.1,28.1
Beijing Normal University ,/universities/beijing-normal-university,https://www.topuniversities.com/universities/beijing-normal-university,Asia,China (Mainland),Beijing,https://staging.topuniversities.com/sites/default/files/beijing-normal-university_869_small.jpg,38.5,271,,FALSE,FALSE,65,524,605,701+,259,537,471,701+,601+,92.6,21.3,24.2,6.6,33.9,19.7,70.8,10.5,10.3
Radboud University,/universities/radboud-university,https://www.topuniversities.com/universities/radboud-university,Europe,Netherlands,Nijmegen,https://staging.topuniversities.com/sites/default/files/240410065850am767670Logo-Radboud-University-48x48.jpg,38.4,272,,FALSE,FALSE,167,573,561,233,315,369,101,571,582,66,18.6,27,81.3,28,39.8,93.9,19.6,14.1
University College Cork,/universities/university-college-cork,https://www.topuniversities.com/universities/university-college-cork,Europe,Ireland,Cork,https://staging.topuniversities.com/sites/default/files/university-college-cork_142_small.jpg,38.3,273,,FALSE,FALSE,457,281,636,198,294,88,497,371,270,28.5,52.1,22.1,89,30.1,91,69.1,34,35.1
University of Galway,/universities/university-galway,https://www.topuniversities.com/universities/university-galway,Europe,Ireland,Galway,https://staging.topuniversities.com/sites/default/files/230111113541am417642Logo-QS-48x48.jpg,38.3,274,,FALSE,FALSE,664,333,217,144,339,120,301,274,311,13.2,43.2,63.2,95.2,26.2,85.9,81.3,46.6,30.3
Dalhousie University,/universities/dalhousie-university,https://www.topuniversities.com/universities/dalhousie-university,North America,Canada,Halifax,https://staging.topuniversities.com/sites/default/files/230727020520pm561449Vertical-Logo-Dalhouise-48x48.jpg,38.2,275,5,FALSE,FALSE,239,189,701+,86,463,109,369,416,513,53.5,74.6,12.9,99.9,19.4,87.9,77.4,30.1,16.7
University of Massachusetts Amherst,/universities/university-massachusetts-amherst,https://www.topuniversities.com/universities/university-massachusetts-amherst,North America,United States,Amherst,https://staging.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg,38.2,276,,FALSE,FALSE,274,474,701+,321,224,136,327,411,498,48.8,25.3,10,61,38.2,83.4,79.8,30.6,17.2
University of Pittsburgh,/universities/university-pittsburgh,https://www.topuniversities.com/universities/university-pittsburgh,North America,United States,Pittsburgh,https://staging.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,38.2,277,,FALSE,FALSE,420,650,52,701+,251,295,141,303,601+,31.3,13.5,96.3,9.5,35,53.5,91.7,42.6,12.7
University of Porto,/universities/university-porto,https://www.topuniversities.com/universities/university-porto,Europe,Portugal,Porto,https://staging.topuniversities.com/sites/default/files/220603114500am903324university-of-porto-logo-48x48.jpg,38.1,278,,FALSE,FALSE,205,543,701+,701+,206,298,77,327,492,59.6,19.8,10.8,6.6,41.3,53.1,95.1,39.1,17.9
Vrije Universiteit Brussel (VUB),/universities/vrije-universiteit-brussel-vub,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub,Europe,Belgium,Brussels,https://staging.topuniversities.com/sites/default/files/vrije-universiteit-brussel-vub_74_small.jpg,38.1,279,,FALSE,FALSE,581,255,159,165,381,208,115,243,592,18.2,58.2,76.1,93.6,23.3,72.1,93.1,51.8,13.7
Ulsan National Institute of Science and Technology (UNIST),/universities/ulsan-national-institute-science-technology-unist,https://www.topuniversities.com/universities/ulsan-national-institute-science-technology-unist,Asia,South Korea,Ulsan,https://staging.topuniversities.com/sites/default/files/ulsan-national-institute-of-science-and-technology-unist_5ba37add9ed419611e043517_small.jpg,38,280,,FALSE,FALSE,34,701+,95,499,601+,577,701+,701+,601+,98.1,9.6,87.9,29.3,13.6,16.1,24.8,3.3,13.5
The Hebrew University of Jerusalem,/universities/hebrew-university-jerusalem,https://www.topuniversities.com/universities/hebrew-university-jerusalem,Asia,Israel,Jerusalem,https://staging.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg,37.9,281,,FALSE,FALSE,563,492,143,349,269,413,364,54,484,19.4,23.8,79.3,53.2,32.8,34.2,77.8,94.6,18.2
University of Strathclyde,/universities/university-strathclyde,https://www.topuniversities.com/universities/university-strathclyde,Europe,United Kingdom,Glasgow,https://staging.topuniversities.com/sites/default/files/university-of-strathclyde_579_small.jpg,37.9,282,,FALSE,FALSE,416,235,701+,170,343,107,246,376,314,31.8,64,16.7,93,25.9,88.6,85,33.6,30
Université Paris 1 Panthéon-Sorbonne ,/universities/universite-paris-1-pantheon-sorbonne,https://www.topuniversities.com/universities/universite-paris-1-pantheon-sorbonne,Europe,France,Paris,https://staging.topuniversities.com/sites/default/files/universit-paris-1-panthon-sorbonne_482_small.jpg,37.5,283,,FALSE,FALSE,701+,317,701+,467,104,500,481,140,280,2.9,46.5,4.6,34.3,65.6,23.7,70.3,74.8,33.3
Southern University of Science and Technology (SUSTech),/universities/southern-university-science-technology-sustech,https://www.topuniversities.com/universities/southern-university-science-technology-sustech,Asia,China (Mainland),Shenzhen,https://staging.topuniversities.com/sites/default/files/220530064029am250629Screenshot-at-May-30-14-39-50-48x48.jpg,37.3,284,,FALSE,FALSE,29,701+,85,430,601+,432,701+,701+,601+,98.8,1.4,89.7,37.5,9.3,31.6,48.3,1.6,2.5
Middle East Technical University,/universities/middle-east-technical-university,https://www.topuniversities.com/universities/middle-east-technical-university,Asia,Türkiye,Ankara,https://staging.topuniversities.com/sites/default/files/middle-east-technical-university_2110_small.jpg,37.2,285,,FALSE,FALSE,528,576,701+,701+,286,223,412,130,101,22.3,18.3,9,12,31.2,69.5,74.7,77.5,70.2
Universidad Carlos III de Madrid (UC3M),/universities/universidad-carlos-iii-de-madrid-uc3m,https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m,Europe,Spain,Madrid,https://staging.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_small.jpg,37.2,286,,FALSE,FALSE,701+,279,316,302,260,227,534,551,147,4.1,52.3,49.5,64.8,33.5,68.3,66.3,20.7,56.3
University of Cologne,/universities/university-cologne,https://www.topuniversities.com/universities/university-cologne,Europe,Germany,Cologne,https://staging.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg,37.2,287,,FALSE,FALSE,440,429,701+,444,250,78,158,212,310,29.3,30.1,15.7,35.9,35.2,91.9,90.8,56.8,30.4
University of Leicester,/universities/university-leicester,https://www.topuniversities.com/universities/university-leicester,Europe,United Kingdom,Leicester,https://staging.topuniversities.com/sites/default/files/university-of-leicester_339_small.jpg,37.2,288,,FALSE,FALSE,316,95,511,238,453,186,187,504,594,43.4,95.3,30.8,80,19.8,75,88.8,22.7,13.7
University of Milan,/universities/university-milan,https://www.topuniversities.com/universities/university-milan,Europe,Italy,Milan,https://staging.topuniversities.com/sites/default/files/230331095733am940735university-of-milan-1873-large-48x48.jpg,37.2,289,,FALSE,FALSE,356,701+,701+,701+,152,190,239,290,505,39.6,6.8,6.4,6.5,52.8,74.8,85.5,44.1,17
University of Surrey,/universities/university-surrey,https://www.topuniversities.com/universities/university-surrey,Europe,United Kingdom,Guildford,https://staging.topuniversities.com/sites/default/files/230822021755pm944389Surrey-Logo-200x200px-48x48.jpg,37.2,290,,FALSE,FALSE,227,139,625,129,454,456,226,557,490,55.2,87.1,22.8,97.1,19.7,28.4,86.4,20.4,17.9
Swinburne University of Technology,/universities/swinburne-university-technology,https://www.topuniversities.com/universities/swinburne-university-technology,Oceania,Australia,Melbourne,https://staging.topuniversities.com/sites/default/files/swinburne-university-of-technology_759_small.jpg,37.1,291,,FALSE,FALSE,88,183,701+,150,601+,585,538,696,601+,86.5,77.3,12.4,94.9,13.9,15.4,66.1,13.9,11.4
University of Bergen,/universities/university-bergen,https://www.topuniversities.com/universities/university-bergen,Europe,Norway,Bergen,https://staging.topuniversities.com/sites/default/files/university-of-bergen_53_small.jpg,37.1,292,,FALSE,FALSE,460,589,205,167,280,416,160,184,601+,28.3,16.9,64.9,93.3,31.6,33.6,90.7,63.9,8.3
The University of Arizona,/universities/university-arizona,https://www.topuniversities.com/universities/university-arizona,North America,United States,Tucson,https://staging.topuniversities.com/sites/default/files/the-university-of-arizona_26_small.jpg,37,293,,FALSE,FALSE,360,620,349,486,231,363,98,344,420,38.8,15.1,44.4,31.6,37.3,40.4,94.1,37.1,22.2
University of Tasmania,/universities/university-tasmania,https://www.topuniversities.com/universities/university-tasmania,Oceania,Australia,Hobart,https://staging.topuniversities.com/sites/default/files/university-of-tasmania_592560cf2aeae70239af4cd5_small.jpg,37,294,,FALSE,FALSE,203,123,635,240,552,123,323,636,601+,59.8,89.7,22.1,79.9,16,85.6,80,15.9,7.4
Xi’an Jiaotong University,/universities/xian-jiaotong-university,https://www.topuniversities.com/universities/xian-jiaotong-university,Asia,China (Mainland),Xi'an,https://staging.topuniversities.com/sites/default/files/xian-jiaotong-university_683_small.jpg,36.9,295,,FALSE,FALSE,77,701+,701+,701+,474,553,315,448,238,89.5,3.8,14,3.9,19,18.2,80.5,26.4,39.4
Stellenbosch University,/universities/stellenbosch-university,https://www.topuniversities.com/universities/stellenbosch-university,Africa,South Africa,Stellenbosch,https://staging.topuniversities.com/sites/default/files/231205074857am619842su-logo-200x200-48x48.jpg,36.7,296,,FALSE,FALSE,190,701+,701+,605,342,516,80,101,262,61.9,8,3.5,19.7,26.1,22,94.8,85.2,35.8
University of Virginia,/universities/university-virginia,https://www.topuniversities.com/universities/university-virginia,North America,United States,Charlottesville,https://staging.topuniversities.com/sites/default/files/university-of-virginia_656_small.jpg,36.6,297,,FALSE,FALSE,446,690,267,701+,230,400,295,129,353,29.1,11.3,55.8,6.1,37.3,35.4,81.6,77.9,27.3
Bauman Moscow State Technical University,/universities/bauman-moscow-state-technical-university,https://www.topuniversities.com/universities/bauman-moscow-state-technical-university,Europe,Russia,Moscow,https://staging.topuniversities.com/sites/default/files/bauman-moscow-state-technical-university_592560cf2aeae70239af505c_small.jpg,36.5,298,,FALSE,TRUE,701+,210,22,298,242,701+,701+,701+,169,1.4,70,99.9,65.6,36.2,6.8,15.2,7.7,51.9
Swansea University,/universities/swansea-university,https://www.topuniversities.com/universities/swansea-university,Europe,United Kingdom,Swansea,https://staging.topuniversities.com/sites/default/files/220308050407pm529761Swansea-Uni-logo-200x200-photo-48x48.jpg,36.5,299,,FALSE,FALSE,467,249,591,278,387,80,286,701+,214,27.9,59.6,25.1,71,23.1,91.8,82.3,8.3,43.1
Huazhong University of Science and Technology,/universities/huazhong-university-science-technology,https://www.topuniversities.com/universities/huazhong-university-science-technology,Asia,China (Mainland),Wuhan,https://staging.topuniversities.com/sites/default/files/huazhong-university-of-science-and-technology_592560cf2aeae70239af5256_small.jpg,36.4,300,,FALSE,FALSE,10,701+,701+,701+,431,592,335,606,337,99.9,2.7,7.9,5.2,20.4,15,79.4,17.6,28.2
Georgetown University,/universities/georgetown-university,https://www.topuniversities.com/universities/georgetown-university,North America,United States,Washington D.C.,https://staging.topuniversities.com/sites/default/files/220714055746am997087Georgetown-48x48.jpg,36.3,301,,FALSE,FALSE,655,377,218,506,302,391,597,71,224,14,37.3,63,28,29.3,37,62.5,90.9,41.9
Beijing Institute of Technology,/universities/beijing-institute-technology,https://www.topuniversities.com/universities/beijing-institute-technology,Asia,China (Mainland),Beijing,https://staging.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_small.jpg,35.9,302,,FALSE,FALSE,103,701+,361,701+,384,661,505,681,396,82,6.7,43.4,5.7,23.2,10.1,68.6,14.3,24.3
Université Paris Cité,/universities/universite-paris-cite,https://www.topuniversities.com/universities/universite-paris-cite,Europe,France,Paris,https://staging.topuniversities.com/sites/default/files/230601025838am526615Logotype-UPCite-Enlighten-200px-48x48.jpg,35.9,303,,FALSE,FALSE,87,388,701+,701+,319,549,11,655,601+,87,35.2,9.2,12,27.8,18.4,99.2,15.2,6.2
Linköping University,/universities/linkoping-university,https://www.topuniversities.com/universities/linkoping-university,Europe,Sweden,Linköping,https://staging.topuniversities.com/sites/default/files/linkping-university_348_small.jpg,35.8,304,,FALSE,FALSE,304,409,420,231,489,360,253,305,360,45.4,32.6,37.9,81.9,18.5,41,84.6,42.4,26.6
Universidade Federal do Rio de Janeiro,/universities/universidade-federal-do-rio-de-janeiro,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,Latin America,Brazil,Rio de Janeiro,https://staging.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-48x48.jpg,35.8,305,,FALSE,FALSE,701+,701+,701+,701+,112,269,330,117,407,7.8,1.5,13.7,7.6,61.9,59.6,79.7,81.4,23.3
Aalborg University,/universities/aalborg-university,https://www.topuniversities.com/universities/aalborg-university,Europe,Denmark,"Aalborg,",https://staging.topuniversities.com/sites/default/files/aalborg-university_1262_small.jpg,35.7,306,6,FALSE,FALSE,241,627,580,250,450,183,134,486,439,53.2,14.9,25.5,77.3,19.9,75.6,92.1,23.3,20.8
"University of California, Irvine",/universities/university-california-irvine,https://www.topuniversities.com/universities/university-california-irvine,North America,United States,Irvine,https://staging.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg,35.5,307,,FALSE,FALSE,344,252,701+,401,229,397,260,701+,419,40.7,58.7,17.3,43.9,37.5,36,84.1,11.2,22.3
Airlangga University,/universities/airlangga-university,https://www.topuniversities.com/universities/airlangga-university,Asia,Indonesia,Surabaya,https://staging.topuniversities.com/sites/default/files/logo-UNAIR-200px-x-200px-01-48x48.jpeg,35.3,308,,FALSE,FALSE,701+,701+,259,330,232,570,701+,585,80,1.5,6.7,57,58,37.1,16.3,40.3,18.9,79.1
Goethe-University Frankfurt am Main,/universities/goethe-university-frankfurt-am-main,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main,Europe,Germany,Frankfurt,https://staging.topuniversities.com/sites/default/files/universitt-frankfurt-am-main_214_small.jpg,35.2,309,,FALSE,FALSE,621,489,600,432,196,186,166,560,282,15.9,24.1,24.4,37.4,43.2,75,90.4,20.2,33.2
Universität Innsbruck,/universities/universitat-innsbruck,https://www.topuniversities.com/universities/universitat-innsbruck,Europe,Austria,Innsbruck,https://staging.topuniversities.com/sites/default/files/universitt-innsbruck_592560cf2aeae70239af4ba7_small.jpg,35.2,310,,FALSE,FALSE,701+,27,177,68,434,263,461,223,601+,9.3,100,73.1,100,20.3,61.6,71.5,55.8,7.8
North Carolina State University,/universities/north-carolina-state-university,https://www.topuniversities.com/universities/north-carolina-state-university,North America,United States,Raleigh,https://staging.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg,35.1,311,,FALSE,FALSE,181,585,701+,338,330,398,358,532,374,63.4,17,9.8,55,26.7,35.7,78.1,21.5,25.4
Jagiellonian University,/universities/jagiellonian-university,https://www.topuniversities.com/universities/jagiellonian-university,Europe,Poland,Krakow,https://staging.topuniversities.com/sites/default/files/jagiellonian-university_300_small.jpg,35,312,,FALSE,FALSE,701+,615,203,701+,228,400,188,249,199,5.5,15.4,65.1,5.7,37.8,35.4,88.6,51.3,46.4
University of Johannesburg,/universities/university-johannesburg,https://www.topuniversities.com/universities/university-johannesburg,Africa,South Africa,Johannesburg,https://staging.topuniversities.com/sites/default/files/university-of-johannesburg-_592560cf2aeae70239af4f46_small.jpg,35,313,,FALSE,FALSE,499,285,388,134,513,238,26,190,491,24.9,51.4,40.3,96.5,17.7,65.6,98,63.1,17.9
Universität Stuttgart,/universities/universitat-stuttgart,https://www.topuniversities.com/universities/universitat-stuttgart,Europe,Germany,Stuttgart,https://staging.topuniversities.com/sites/default/files/universitt-stuttgart_580_small.jpg,34.9,314,,FALSE,FALSE,228,314,701+,442,386,239,479,527,286,55.2,46.8,6.8,36,23.1,65.3,70.4,21.7,33
Quaid-i-Azam University,/universities/quaid-i-azam-university,https://www.topuniversities.com/universities/quaid-i-azam-university,Asia,Pakistan,Islamabad,https://staging.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_small.jpg,34.8,315,,FALSE,FALSE,58,701+,701+,701+,520,701+,557,546,218,93.6,1.9,3.2,7,17.3,3.4,65,21,42.4
RUDN University,/universities/rudn-university,https://www.topuniversities.com/universities/rudn-university,Europe,Russia,Moscow,https://staging.topuniversities.com/sites/default/files/rudn-university_1503_small.jpg,34.7,316,,FALSE,TRUE,701+,107,79,701+,357,498,170,701+,186,2.1,92.2,92,8,24.4,24,89.7,10,48.7
Shandong University,/universities/shandong-university,https://www.topuniversities.com/universities/shandong-university,Asia,China (Mainland),Jinan,https://staging.topuniversities.com/sites/default/files/shandong-university_555_small.jpg,34.7,317,,FALSE,FALSE,81,701+,701+,701+,538,537,572,553,268,88.2,3.1,16.7,8.2,16.6,19.7,64.1,20.7,35.5
University of Notre Dame,/universities/university-notre-dame,https://www.topuniversities.com/universities/university-notre-dame,North America,United States,Notre Dame,https://staging.topuniversities.com/sites/default/files/university-of-notre-dame_458_small.jpg,34.7,318,,FALSE,FALSE,444,575,237,566,344,225,484,201,379,29.2,18.4,60.8,22.3,25.8,68.9,70.1,60.2,25.2
Simon Fraser University,/universities/simon-fraser-university,https://www.topuniversities.com/universities/simon-fraser-university,North America,Canada,Burnaby,https://staging.topuniversities.com/sites/default/files/simon-fraser-university_562_small.jpg,34.6,319,,FALSE,FALSE,374,158,701+,131,367,96,382,503,601+,36.6,83.9,6.2,97,24,89.8,76.8,22.8,11.4
University of Colorado Boulder,/universities/university-colorado-boulder,https://www.topuniversities.com/universities/university-colorado-boulder,North America,United States,Boulder,https://staging.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_small.jpg,34.4,320,,FALSE,FALSE,385,701+,414,482,244,252,228,400,495,34.9,4.9,38.3,32.2,36.1,62.8,86.3,31.6,17.5
L.N. Gumilyov Eurasian National University (ENU),/universities/ln-gumilyov-eurasian-national-university-enu,https://www.topuniversities.com/universities/ln-gumilyov-eurasian-national-university-enu,Asia,Kazakhstan,Astana,https://staging.topuniversities.com/sites/default/files/240216043308am306054%D0%BB%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF-48x48.jpg,34.2,321,4,FALSE,FALSE,701+,701+,76,289,256,655,701+,701+,130,1.4,8.2,92.6,68.7,34.4,10.5,22.8,5.5,62
National Technical University of Athens,/universities/national-technical-university-athens,https://www.topuniversities.com/universities/national-technical-university-athens,Europe,Greece,Athens,https://staging.topuniversities.com/sites/default/files/national-technical-university-of-athens_592560cf2aeae70239af4aa3_small.jpg,34.2,322,,FALSE,FALSE,132,701+,701+,701+,412,701+,444,325,204,76,4.6,4.6,1.3,21.3,5,72.7,39.6,44.9
Universidad Politécnica de Madrid (UPM),/universities/universidad-politecnica-de-madrid,https://www.topuniversities.com/universities/universidad-politecnica-de-madrid,Europe,Spain,Madrid,https://staging.topuniversities.com/sites/default/files/politcnica-de-madrid_1507_small.jpg,34.2,323,,FALSE,FALSE,701+,414,701+,701+,283,119,308,199,146,11.4,32.1,16.7,3.2,31.3,86.3,81.1,60.7,56.5
University of Miami,/universities/university-miami,https://www.topuniversities.com/universities/university-miami,North America,United States,Miami,https://staging.topuniversities.com/sites/default/files/university-of-miami_401_small.jpg,34.1,324,,FALSE,FALSE,358,587,310,295,475,462,294,292,316,39.3,16.9,50,66.7,19,27.9,81.6,43.8,29.5
University of Southern Denmark (SDU),/universities/university-southern-denmark-sdu,https://www.topuniversities.com/universities/university-southern-denmark-sdu,Europe,Denmark,Odense,https://staging.topuniversities.com/sites/default/files/university-of-southern-denmark_592560cf2aeae70239af4c53_small.jpg,34.1,325,,FALSE,FALSE,270,491,631,217,440,198,309,540,538,49.3,24.1,22.3,85.5,20.2,73.2,81.1,21.3,15.9
Daegu Gyeongbuk Institute of Science and Technology (DGIST),/universities/daegu-gyeongbuk-institute-science-technology-dgist,https://www.topuniversities.com/universities/daegu-gyeongbuk-institute-science-technology-dgist,Asia,South Korea,Daegu,https://staging.topuniversities.com/sites/default/files/dgist_592560e49988f300e23218c9_small.jpg,34,326,,FALSE,FALSE,12,701+,113,701+,601+,701+,701+,701+,601+,99.9,3.3,84.1,6.6,10.5,3.1,12.3,2.7,11.8
Istanbul Technical University,/universities/istanbul-technical-university,https://www.topuniversities.com/universities/istanbul-technical-university,Asia,Türkiye,Istanbul,https://staging.topuniversities.com/sites/default/files/istanbul-technical-university_296_small.jpg,34,327,5,FALSE,FALSE,602,546,701+,701+,327,221,388,165,112,17,19.8,9.7,8.3,27,70.3,76.1,69.1,67.2
Kyung Hee University,/universities/kyung-hee-university,https://www.topuniversities.com/universities/kyung-hee-university,Asia,South Korea,Seoul,https://staging.topuniversities.com/sites/default/files/230330065433am364143%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-48x48.jpg,33.8,328,,FALSE,FALSE,636,276,121,676,383,152,701+,699,253,15.1,53.4,82.1,14.3,23.2,80.5,54.5,13.8,37.1
