University Name,Path,Absolute Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Faculty Rank,International Students Ratio Rank,Faculty Student Ratio Rank,International Faculty Ratio Rank,Academic Reputation Rank,Sustainability Rank,International Research Network Rank,Employment Outcomes Rank,Employer Reputation Rank,Citations per Faculty Score,International Students Ratio Score,Faculty Student Ratio Score,International Faculty Ratio Score,Academic Reputation Score,Sustainability Score,International Research Network Score,Employment Outcomes Score,Employer Reputation Score
Alma Mater Studiorum - Università di Bologna,/universities/alma-mater-studiorum-universita-di-bologna,https://www.topuniversities.com/universities/alma-mater-studiorum-universita-di-bologna,Europe,Italy,Bologna,https://staging.topuniversities.com/sites/default/files/240304015357pm262606Unibo-200X200-48x48.jpg,54.1,133,,FALSE,FALSE,296,672,701+,672,69,108,56,232,194,46.6,12.3,3.7,14.5,80.8,88.4,96,53.8,47.8
"Macquarie University (Sydney, Australia)",/universities/macquarie-university-sydney-australia,https://www.topuniversities.com/universities/macquarie-university-sydney-australia,Oceania,Australia,Sydney,https://staging.topuniversities.com/sites/default/files/macquarie-university_378_small.jpg,54.1,134,,FALSE,FALSE,111,112,701+,88,262,57,157,231,241,79.6,91.6,9.1,99.9,33.4,95,90.9,54.1,39.2
University of Science and Technology of China,/universities/university-science-technology-china,https://www.topuniversities.com/universities/university-science-technology-china,Asia,China (Mainland),Hefei,https://staging.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg,54.1,135,,FALSE,FALSE,38,701+,63,701+,162,622,393,395,402,97.7,5.1,94.7,11.6,50,11.9,75.7,31.9,23.7
Eindhoven University of Technology,/universities/eindhoven-university-technology,https://www.topuniversities.com/universities/eindhoven-university-technology,Europe,Netherlands,Eindhoven,https://staging.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg,54,136,,FALSE,FALSE,114,164,442,75,306,445,472,468,96,79.3,82.7,35.7,100,28.7,29.8,70.8,24.2,72.1
University of Vienna,/universities/university-vienna,https://www.topuniversities.com/universities/university-vienna,Europe,Austria,Vienna,https://staging.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg,53.9,137,,FALSE,FALSE,667,109,619,70,89,265,57,78,235,13,92,23.2,100,70.9,60.9,96,89.7,40.4
Universiti Kebangsaan Malaysia (UKM),/universities/universiti-kebangsaan-malaysia-ukm,https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm,Asia,Malaysia,Bangi,https://staging.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg,53.8,138,5,FALSE,FALSE,651,175,132,392,113,243,269,510,114,14.1,78.8,80.4,45.7,61.7,64.4,83.7,22.5,66.4
Chalmers University of Technology,/universities/chalmers-university-technology,https://www.topuniversities.com/universities/chalmers-university-technology,Europe,Sweden,Gothenburg,https://staging.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg,53.7,139,,FALSE,FALSE,125,240,306,56,338,113,378,399,177,77.4,63.1,50.5,100,26.3,87,77,31.7,50.4
Universidad de Chile,/universities/universidad-de-chile,https://www.topuniversities.com/universities/universidad-de-chile,Latin America,Chile,Santiago,https://staging.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg,53.7,140,,FALSE,FALSE,701+,701+,701+,701+,63,245,377,42,52,11.2,4.5,8,8.5,82.8,64.1,77.1,96.1,90
Lancaster University,/universities/lancaster-university,https://www.topuniversities.com/universities/lancaster-university,Europe,United Kingdom,"Lancaster,",https://staging.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg,53.6,141,5,FALSE,FALSE,157,105,551,166,222,44,171,431,255,69.6,92.3,27.7,93.3,38.9,96.2,89.7,28.8,36.7
Leiden University,/universities/leiden-university,https://www.topuniversities.com/universities/leiden-university,Europe,Netherlands,Leiden,https://staging.topuniversities.com/sites/default/files/leiden-university_340_small.jpg,53.6,142,,FALSE,FALSE,234,284,649,220,95,488,72,263,288,54.5,51.7,21.3,85,68.4,25.5,95.2,48.8,32.9
Rice University,/universities/rice-university,https://www.topuniversities.com/universities/rice-university,North America,United States,Houston,https://staging.topuniversities.com/sites/default/files/rice-university_524_small.jpg,53.6,143,,FALSE,FALSE,83,99,222,247,220,529,602,421,350,87.9,94.1,62.5,77.5,39.1,20.6,62.2,29.5,27.3
Aarhus University,/universities/aarhus-university,https://www.topuniversities.com/universities/aarhus-university,Europe,Denmark,Aarhus,https://staging.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,53.3,144,,FALSE,FALSE,177,682,509,192,144,176,54,162,349,63.8,11.9,30.8,89.8,54.7,76.4,96.1,69.5,27.6
Nanjing University,/universities/nanjing-university,https://www.topuniversities.com/universities/nanjing-university,Asia,China (Mainland),Nanjing,https://staging.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg,53,145,,FALSE,FALSE,63,701+,443,317,135,567,520,430,290,93,7.6,35.6,61.9,57.1,16.5,67.1,29,32.5
Universiti Sains Malaysia (USM),/universities/universiti-sains-malaysia-usm,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm,Asia,Malaysia,Gelugor,https://staging.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg,52.7,146,,FALSE,FALSE,560,87,331,545,106,214,200,561,103,19.6,96.4,46.4,24.3,63.3,71.2,87.8,20.1,69.7
Technische Universität Berlin (TU Berlin),/universities/technische-universitat-berlin-tu-berlin,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,Europe,Germany,Berlin,https://staging.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg,52.5,147,,FALSE,FALSE,530,187,252,311,142,400,232,341,88,22.1,74.8,58,63.2,55.3,35.4,86.1,37.7,74.3
Universiti Putra Malaysia (UPM),/universities/universiti-putra-malaysia-upm,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm,Asia,Malaysia,Seri Kembangan,https://staging.topuniversities.com/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg,52.3,148,,FALSE,FALSE,490,108,250,441,118,295,314,607,131,25.7,92,58.8,36.1,61,53.5,80.5,17.5,61.9
King Abdulaziz University (KAU),/universities/king-abdulaziz-university-kau,https://www.topuniversities.com/universities/king-abdulaziz-university-kau,Asia,Saudi Arabia,Jeddah,https://staging.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg,52.2,149,,FALSE,FALSE,387,701+,374,195,125,275,118,353,133,34.4,9.5,41.6,89.3,59.8,58.4,93.1,35.9,61.4
Indian Institute of Technology Delhi (IITD),/universities/indian-institute-technology-delhi-iitd,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd,Asia,India,New Delhi,https://staging.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg,52.1,150,,FALSE,FALSE,126,701+,701+,701+,147,424,582,361,73,77.4,1.5,17.3,3.1,54.1,32.7,63.3,35.1,80.9
University of Bath,/universities/university-bath,https://www.topuniversities.com/universities/university-bath,Europe,United Kingdom,Bath,https://staging.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,52.1,151,,FALSE,FALSE,250,171,701+,159,245,92,259,360,109,52,80,18.3,94.3,35.8,90.4,84.2,35.2,67.9
