University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Paper Rank,International Research Network Rank,Employer Reputation Rank,H-index Citations Rank,Academic Reputation Rank,Citations per Paper Score,International Research Network Score,Employer Reputation Score,H-index Citations Score,Academic Reputation Score
Institut Polytechnique de Paris,/universities/institut-polytechnique-de-paris,Europe,France,Palaiseau Cedex,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,66.7,219,,False,False,134,72,61,247,401+,84.9,78.3,74.6,70,57.5
Qatar University,/universities/qatar-university,Asia,Qatar,Doha,https://www.topuniversities.com/sites/default/files/qatar-university_2537_small.jpg,66.7,220,,False,False,289,126,168,357,330,80.7,73.2,67.6,63.9,63.9
Universidade Nova de Lisboa,/universities/universidade-nova-de-lisboa,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/universidade-nova-de-lisboa_460_small.jpg,66.7,221,,False,False,185,125,398,88,226,83.7,73.3,56.3,79,67.9
University of Waterloo,/universities/university-waterloo,North America,Canada,Waterloo,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg,66.7,222,,False,False,196,122,114,216,401+,83.5,73.8,71.4,71.4,60
University of Southampton,/universities/university-southampton,Europe,United Kingdom,Southampton,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,66.6,223,,False,False,74,63,278,88,338,86.8,79.8,61.2,79,63.6
Indian Institute of Management (IIM) - Ahmedabad,/universities/indian-institute-management-iim-ahmedabad,Asia,India,Ahmedabad,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-ahmedabad_1901_small.jpg,66.4,224,,False,False,401+,401+,182,401+,128,63.3,21,66.9,53.9,72.9
University of Massachusetts Amherst,/universities/university-massachusetts-amherst,North America,United States,Amherst,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg,66.4,225,,False,False,107,196,272,126,296,85.5,67.4,61.7,76.4,64.8
University of Warsaw,/universities/university-warsaw,Europe,Poland,Warsaw,https://www.topuniversities.com/sites/default/files/221121121702pm909597logo-University-of-Warsaw-48x48.jpg,66.4,226,,False,False,401+,320,372,314,140,69.6,56.2,57.5,66.7,72.3
Boston College,/universities/boston-college,North America,United States,Chestnut Hill,https://www.topuniversities.com/sites/default/files/boston-college_723_small.jpg,66.3,227,,False,False,24,401+,372,78,214,89.4,43.5,57.5,79.5,68.4
Cairo University,/universities/cairo-university,Africa,Egypt,Giza,https://www.topuniversities.com/sites/default/files/cairo-university_80_small.jpg,66.3,228,,False,False,377,238,107,401+,345,75.6,64.4,71.6,56.9,63.4
University of Ottawa,/universities/university-ottawa,North America,Canada,Ottawa,https://www.topuniversities.com/sites/default/files/university-of-ottawa_475_small.jpg,66.3,229,,False,False,263,42,207,71,401+,81.4,82.3,65.5,79.9,60.9
University of Lausanne,/universities/university-lausanne,Europe,Switzerland,Lausanne,https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg,66.2,230,,False,False,283,254,393,229,198,80.9,63.4,56.7,70.7,69.2
University of Liverpool,/universities/university-liverpool,Europe,United Kingdom,Liverpool,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg,66.2,231,,False,False,272,8,265,115,387,81.2,94.2,62.1,77.5,61.9
Instituto Tecnológico Autónomo de México (ITAM),/universities/instituto-tecnologico-autonomo-de-mexico-itam,Latin America,Mexico,Mexico City,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-autnomo-de-mxico-itam_592560cf2aeae70239af4da6_small.jpg,66.1,232,,False,False,401+,401+,68,401+,172,55.6,6.5,73.9,56.9,70.3
Universidad de Santiago de Chile (USACH),/universities/universidad-de-santiago-de-chile-usach,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-de-santiago-de-chile-usach_548_small.jpg,66.1,233,,False,False,401+,401+,134,401+,214,64.5,39.8,70.2,53.9,68.4
"Macquarie University (Sydney, Australia)",/universities/macquarie-university-sydney-australia,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/macquarie-university_378_small.jpg,66,234,,False,False,210,220,350,78,271,83.1,65.6,58.5,79.5,65.9
Middle East Technical University,/universities/middle-east-technical-university,Asia,Türkiye,Ankara,https://www.topuniversities.com/sites/default/files/middle-east-technical-university_2110_small.jpg,66,235,,False,False,289,368,111,300,393,80.7,50.6,71.5,67.6,61.8
National Cheng Kung University (NCKU),/universities/national-cheng-kung-university-ncku,Asia,Taiwan,Tainan City,https://www.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-48x48.jpg,66,236,,False,False,220,371,249,369,242,82.6,50.1,63.2,62.9,67.3
The University of Georgia,/universities/university-georgia,North America,United States,Athens,https://www.topuniversities.com/sites/default/files/the-university-of-georgia_227_small.jpg,66,237,,False,False,181,110,366,62,289,83.8,74.4,57.9,80.4,65.1
University of Gothenburg,/universities/university-gothenburg,Europe,Sweden,Gothenburg,https://www.topuniversities.com/sites/default/files/university-of-gothenburg_233_small.jpg,66,238,,False,False,251,27,401+,133,180,81.8,84.8,49.8,75.8,69.9
University of Illinois at Chicago (UIC),/universities/university-illinois-chicago-uic,North America,United States,Chicago,https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg,66,239,,False,False,185,133,265,151,331,83.7,72.3,62.1,74.7,63.8
American University of Beirut (AUB),/universities/american-university-beirut-aub,Asia,Lebanon,Beirut ,https://www.topuniversities.com/sites/default/files/230707125949pm449470AUB-Profile-Photo-only%5B99%5D-48x48.jpg,65.9,240,,False,False,399,326,64,398,398,73.7,55.5,74.1,60.7,61.6
University of Milan,/universities/university-milan,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/230331095733am940735university-of-milan-1873-large-48x48.jpg,65.9,241,,False,False,348,214,333,300,226,78.1,66,59.1,67.6,67.9
University of York,/universities/university-york,Europe,United Kingdom,York,https://www.topuniversities.com/sites/default/files/university-of-york_689_small.jpg,65.9,242,,False,False,225,185,346,126,269,82.5,68.2,58.6,76.4,66
Università di Padova,/universities/universita-di-padova,Europe,Italy,Padova,https://www.topuniversities.com/sites/default/files/universitdi-padova_480_small.jpg,65.9,243,,False,False,272,136,281,160,304,81.2,72.1,61.1,74,64.6
Airlangga University,/universities/airlangga-university,Asia,Indonesia,Surabaya,https://www.topuniversities.com/sites/default/files/logo-UNAIR-200px-x-200px-01-48x48.jpeg,65.8,244,,False,False,401+,401+,68,401+,204,54.4,24.9,73.9,50.4,69.1
University of Otago,/universities/university-otago,Oceania,New Zealand,Dunedin,https://www.topuniversities.com/sites/default/files/220609020250am605958OtagoLogoQS-48x48.jpg,65.8,245,6,False,False,295,244,394,263,208,80.4,64.1,56.6,69.2,68.8
University of Cologne,/universities/university-cologne,Europe,Germany,Cologne,https://www.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg,65.7,246,,False,False,163,181,401+,99,166,84.2,68.8,49.3,78.5,70.6
UNESP,/universities/unesp,Latin America,Brazil,Sao Paulo,https://www.topuniversities.com/sites/default/files/unesp_492_small.jpg,65.6,247,,False,False,401+,330,119,401+,325,71.2,55.2,71,55.4,64
Universitat de Valencia,/universities/universitat-de-valencia,Europe,Spain,València,https://www.topuniversities.com/sites/default/files/universitat-de-valencia_647_small.jpg,65.6,248,,False,False,275,68,401+,105,253,81.1,79.5,54.5,78,66.7
University of St Andrews,/universities/university-st-andrews,Europe,United Kingdom,St. Andrews,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg,65.6,249,,False,False,190,277,229,216,345,83.6,59.9,64.3,71.4,63.4
"Essex, University of",/universities/essex-university,Europe,United Kingdom,Colchester,https://www.topuniversities.com/sites/default/files/university-of-essex_592560cf2aeae70239af4b4c_small.jpg,65.5,250,,False,False,118,311,401+,122,135,85.2,57.3,47.2,76.9,72.6
The University of Arizona,/universities/university-arizona,North America,United States,Tucson,https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_small.jpg,65.5,251,,False,False,123,178,339,78,325,85.1,69.2,58.9,79.5,64
University of Sussex,/universities/university-sussex,Europe,United Kingdom,Brighton,https://www.topuniversities.com/sites/default/files/university-of-sussex_592560cf2aeae70239af4ccd_small.jpg,65.5,252,,False,False,34,141,401+,133,198,88.8,72,49.7,75.8,69.2
Université Paris-Saclay,/universities/universite-paris-saclay,Europe,France,"Gif-sur-Yvette,",https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg,65.5,253,,False,False,319,110,78,342,401+,79.3,74.4,73,64.9,58.1
Universiti Teknologi Malaysia ,/universities/universiti-teknologi-malaysia,Asia,Malaysia,Skudai,https://www.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_small.jpg,65.4,254,5,False,False,326,88,350,300,266,79.1,76.6,58.5,67.6,66.1
University of the Philippines,/universities/university-philippines,Asia,Philippines,Quezon City,https://www.topuniversities.com/sites/default/files/university-of-the-philippines_498_small.jpg,65.4,255,,False,False,401+,392,167,401+,242,65.9,47.3,67.7,55.4,67.3
Curtin University,/universities/curtin-university,Oceania,Australia,Perth,https://www.topuniversities.com/sites/default/files/curtin-university_150_small.jpg,65.3,256,6,False,False,134,114,401+,47,276,84.9,74.1,54.5,81.7,65.5
L.N. Gumilyov Eurasian National University (ENU),/universities/ln-gumilyov-eurasian-national-university-enu,Asia,Kazakhstan,Astana,https://www.topuniversities.com/sites/default/files/l.n.-gumilyov-eurasian-national-university-enu_592560cf2aeae70239af52e8_small.jpg,65.3,257,4,False,False,401+,401+,136,401+,100,43.3,16.1,69.9,40.9,74.4
Charles University,/universities/charles-university,Europe,Czechia,Prague,https://www.topuniversities.com/sites/default/files/charles-university_117_small.jpg,65.2,258,,False,False,377,99,401+,198,221,75.6,75.2,54.4,72.1,68.1
Griffith University,/universities/griffith-university,Oceania,Australia,Nathan,https://www.topuniversities.com/sites/default/files/griffith-university_242_small.jpg,65.2,259,,False,False,177,141,401+,43,216,84,72,50.1,82.1,68.3
University of Wollongong,/universities/university-wollongong,Oceania,Australia,Wollongong,https://www.topuniversities.com/sites/default/files/university-of-wollongong_680_small.jpg,65.2,260,6,False,False,163,209,367,173,276,84.2,66.4,57.8,73.4,65.5
MGIMO University,/universities/mgimo-university,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg,65.1,261,,False,True,401+,401+,38,401+,260,56.6,12.4,79.2,43.7,66.4
Pontifícia Universidade Católica do Rio de Janeiro,/universities/pontificia-universidade-catolica-do-rio-de-janeiro,Latin America,Brazil,Rio de Janeiro,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_small.jpg,65.1,262,,False,False,401+,397,229,401+,226,69.6,46.5,64.3,56.9,67.9
University of Reading,/universities/university-reading,Europe,United Kingdom,Reading,https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg,65.1,263,,False,False,177,234,308,173,325,84,64.9,60.1,73.4,64
University of Strathclyde,/universities/university-strathclyde,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/university-of-strathclyde_579_small.jpg,65.1,264,,False,False,233,250,377,144,272,82.4,63.7,57.3,75.2,65.8
Ural Federal University - UrFU,/universities/ural-federal-university-urfu,Europe,Russia,Ekaterinburg,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg,65.1,265,,False,True,401+,199,111,382,398,64.1,67.2,71.5,61.8,61.6
King Saud University,/universities/king-saud-university,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/king-saud-university_1175_small.jpg,64.9,266,5,False,False,94,25,227,314,401+,86.2,85.2,64.4,66.7,59.8
Universiti Utara Malaysia (UUM),/universities/universiti-utara-malaysia-uum,Asia,Malaysia,Sintok,https://www.topuniversities.com/sites/default/files/universiti-utara-malaysia-uum_388_small.jpg,64.9,267,,False,False,401+,401+,401+,342,107,72.3,38,52.4,64.9,74
City University of New York,/universities/city-university-new-york,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/city-university-of-new-york_149_small.jpg,64.8,268,,False,False,353,90,255,38,401+,77.8,76.4,62.7,82.6,60.2
Indian Institute of Management (IIM) - Bangalore,/universities/indian-institute-management-iim-bangalore,Asia,India,Bangalore,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-iim-bangalore_1903_small.jpg,64.8,269,,False,False,401+,401+,249,401+,148,58.3,23.1,63.2,59.5,71.7
University of Jordan,/universities/university-jordan,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/university-of-jordan_592560cf2aeae70239af533b_small.jpg,64.7,270,5,False,False,401+,311,142,398,383,70.9,57.3,69.6,60.7,62.1
Vanderbilt University,/universities/vanderbilt-university,North America,United States,Nashville,https://www.topuniversities.com/sites/default/files/vanderbilt-university_649_small.jpg,64.7,271,,False,False,31,303,401+,60,310,88.9,58,56.2,80.8,64.4
American University,/universities/american-university,North America,United States,Washington D.C.,https://www.topuniversities.com/sites/default/files/american-university_17_small.jpg,64.6,272,,False,False,321,401+,207,300,310,79.2,34.5,65.5,67.6,64.4
"University of California, Irvine",/universities/university-california-irvine,North America,United States,Irvine,https://www.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg,64.6,273,,False,False,71,291,385,71,319,87,58.7,56.9,79.9,64.2
University of Notre Dame,/universities/university-notre-dame,North America,United States,Notre Dame,https://www.topuniversities.com/sites/default/files/university-of-notre-dame_458_small.jpg,64.6,274,,False,False,101,346,302,173,336,85.8,53.9,60.3,73.4,63.7
European University Institute,/universities/european-university-institute,Europe,Italy,Florence,https://www.topuniversities.com/sites/default/files/european-university-institute_15283_small.jpg,64.5,275,,False,False,156,401+,401+,173,104,84.4,33.1,46.4,73.4,74.1
Rheinische Friedrich-Wilhelms-Universität Bonn,/universities/rheinische-friedrich-wilhelms-universitat-bonn,Europe,Germany,Bonn,https://www.topuniversities.com/sites/default/files/rheinische-friedrich-wilhelms-universitt-bonn_592560cf2aeae70239af4ac1_small.jpg,64.5,276,,False,False,196,177,401+,216,166,83.5,69.4,46.9,71.4,70.6
Simon Fraser University,/universities/simon-fraser-university,North America,Canada,Burnaby,https://www.topuniversities.com/sites/default/files/simon-fraser-university_562_small.jpg,64.5,277,,False,False,225,323,390,173,269,82.5,56,56.8,73.4,66
University of Lisbon ,/universities/university-lisbon,Europe,Portugal,Lisbon,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg,64.5,278,,False,False,341,80,401+,115,307,78.5,77.3,55.7,77.5,64.5
Rutgers University–New Brunswick,/universities/rutgers-university-new-brunswick,North America,United States,New Brunswick,https://www.topuniversities.com/sites/default/files/rutgers-university-new-brunswick_538_small.jpg,64.4,279,,False,False,190,175,363,71,368,83.6,69.5,58,79.9,62.6
Universidad Diego Portales (UDP),/universities/universidad-diego-portales-udp,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-diego-portales-udp_159_small.jpg,64.4,280,,False,False,401+,401+,197,401+,242,68.8,28.4,66,58.2,67.3
University College Cork,/universities/university-college-cork,Europe,Ireland,Cork,https://www.topuniversities.com/sites/default/files/university-college-cork_142_small.jpg,64.4,281,,False,False,316,257,255,329,359,79.5,63.2,62.7,65.8,63
University of Surrey,/universities/university-surrey,Europe,United Kingdom,Guildford,https://www.topuniversities.com/sites/default/files/230822021755pm944389Surrey-Logo-200x200px-48x48.jpg,64.4,282,,False,False,43,264,401+,115,307,88.4,61.8,55.5,77.5,64.5
Florida International University,/universities/florida-international-university,North America,United States,Miami,https://www.topuniversities.com/sites/default/files/florida-international-university_592560cf2aeae70239af4b55_small.jpg,64.3,283,,False,False,275,77,326,188,379,81.1,77.6,59.4,72.8,62.2
University of Pretoria,/universities/university-pretoria,Africa,South Africa,Pretoria,https://www.topuniversities.com/sites/default/files/university-of-pretoria_506_small.jpg,64.3,284,,False,False,356,52,303,314,363,77.4,81.5,60.2,66.7,62.8
Washington University in St. Louis,/universities/washington-university-st-louis,North America,United States,St. Louis,https://www.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg,64.3,285,,False,False,81,205,401+,151,263,86.6,66.6,52.5,74.7,66.2
Florida State University,/universities/florida-state-university,North America,United States,Tallahassee,https://www.topuniversities.com/sites/default/files/florida-state-university_211_small.jpg,64.2,286,,False,False,81,296,359,62,368,86.6,58.5,58.3,80.4,62.6
Kyung Hee University,/universities/kyung-hee-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/230330065433am364143%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-48x48.jpg,64.2,287,,False,False,257,365,308,329,290,81.6,51.6,60.1,65.8,65
University of Granada,/universities/university-granada,Europe,Spain,Granada,https://www.topuniversities.com/sites/default/files/university-of-granada_235_small.jpg,64.2,288,,False,False,337,55,401+,216,263,78.7,81.2,52.6,71.4,66.2
Bauman Moscow State Technical University,/universities/bauman-moscow-state-technical-university,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/bauman-moscow-state-technical-university_592560cf2aeae70239af505c_small.jpg,64.1,289,,False,True,401+,401+,20,401+,341,44.7,11.9,83.9,43.7,63.5
McMaster University,/universities/mcmaster-university,North America,Canada,Hamilton,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg,64.1,290,,False,False,238,216,240,160,401+,82.3,65.9,63.7,74,60
National Chengchi University,/universities/national-chengchi-university,Asia,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-chengchi-university_436_small.jpg,64.1,291,,False,False,401+,401+,372,401+,142,73,16.7,57.5,59.5,72.1
Queen's University Belfast,/universities/queens-university-belfast,Europe,United Kingdom,Belfast,https://www.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_small.jpg,64.1,292,,False,False,302,104,296,229,395,80.2,74.8,60.6,70.7,61.7
Swansea University,/universities/swansea-university,Europe,United Kingdom,Swansea,https://www.topuniversities.com/sites/default/files/220308050407pm529761Swansea-Uni-logo-200x200-photo-48x48.jpg,64,293,,False,False,93,244,265,133,401+,86.3,64.1,62.1,75.8,60.1
United Arab Emirates University,/universities/united-arab-emirates-university,Asia,United Arab Emirates,Al Ain,https://www.topuniversities.com/sites/default/files/united-arab-emirates-university_778_small.jpg,64,294,5,False,False,401+,238,137,357,401+,70.3,64.4,69.8,63.9,59.6
Universidad del Rosario,/universities/universidad-del-rosario,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-del-rosario_592560cf2aeae70239af514d_small.jpg,64,295,4,False,False,401+,401+,163,401+,245,56.3,37.6,68.1,52.2,67.2
University of Pittsburgh,/universities/university-pittsburgh,North America,United States,Pittsburgh,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,64,296,,False,False,87,146,401+,53,370,86.5,71.7,55.4,81.3,62.5
University of South Australia,/universities/university-south-australia,Oceania,Australia,Adelaide,https://www.topuniversities.com/sites/default/files/university-of-south-australia_566_small.jpg,64,297,5,False,False,138,202,401+,126,323,84.8,67,55.1,76.4,64.1
Massey University,/universities/massey-university,Oceania,New Zealand,Palmerston North,https://www.topuniversities.com/sites/default/files/massey-university_395_small.jpg,63.9,298,6,False,False,295,112,401+,160,285,80.4,74.3,53.3,74,65.3
University of Porto,/universities/university-porto,Europe,Portugal,Porto,https://www.topuniversities.com/sites/default/files/220603114500am903324university-of-porto-logo-48x48.jpg,63.9,299,,False,False,302,36,401+,173,296,80.2,83.1,52.6,73.4,64.8
Xi’an Jiaotong University,/universities/xian-jiaotong-university,Asia,China (Mainland),Xi'an,https://www.topuniversities.com/sites/default/files/xian-jiaotong-university_683_small.jpg,63.9,300,,False,False,134,335,95,277,401+,84.9,54.6,72.2,68.4,56
Universidad Nacional de La Plata (UNLP),/universities/universidad-nacional-de-la-plata-unlp,Latin America,Argentina,La Plata,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-plata-unlp_1690_small.jpg,63.8,301,,False,False,401+,401+,214,401+,233,64,39.1,65.3,48.4,67.7
"University of Rome ""Tor Vergata""",/universities/university-rome-tor-vergata,Europe,Italy,Rome,https://www.topuniversities.com/sites/default/files/university-of-rome-tor-vergata_592560cf2aeae70239af4c99_small.jpg,63.8,302,,False,False,254,351,333,329,304,81.7,53.4,59.1,65.8,64.6
emlyon business school,/universities/emlyon-business-school,Europe,France,Lyon,https://www.topuniversities.com/sites/default/files/211005052214pm924585emlyon-logo-seul-cmjn-48x48.jpg,63.7,303,,False,False,401+,401+,319,401+,219,72.1,38.1,59.7,58.2,68.2
Universidad Torcuato Di Tella,/universities/universidad-torcuato-di-tella,Latin America,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/universidad-torcuato-di-tella_592560cf2aeae70239af4ced_small.jpg,63.7,304,,False,False,401+,401+,131,401+,174,45.5,11.9,70.4,46.1,70.2
Xiamen University,/universities/xiamen-university,Asia,China (Mainland),Xiamen,https://www.topuniversities.com/sites/default/files/xiamen-university_891_small.jpg,63.7,305,,False,False,98,360,344,342,314,85.9,52.4,58.7,64.9,64.3
Radboud University ,/universities/radboud-university,Europe,Netherlands,Nijmegen,https://www.topuniversities.com/sites/default/files/radboud-university_452_small.jpg,63.6,306,,False,False,213,124,401+,105,355,82.9,73.5,54.1,78,63.2
Universidad de Sevilla,/universities/universidad-de-sevilla,Europe,Spain,Seville,https://www.topuniversities.com/sites/default/files/universidad-de-sevilla_554_small.jpg,63.6,307,,False,False,351,87,401+,198,325,77.9,76.7,55.1,72.1,64
National Tsing Hua University,/universities/national-tsing-hua-university,Asia,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,63.5,308,,False,False,401+,401+,205,401+,293,70.8,32.5,65.7,58.2,64.9
University of Rochester,/universities/university-rochester,North America,United States,Rochester,https://www.topuniversities.com/sites/default/files/university-of-rochester_592560cf2aeae70239af4c96_small.jpg,63.5,309,,False,False,41,323,363,173,373,88.5,56,58,73.4,62.4
Bogaziçi Üniversitesi,/universities/bogazici-universitesi,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/bogazii-niversitesi_1575_small.jpg,63.4,310,,False,False,401+,401+,142,401+,345,68.9,30.9,69.6,55.4,63.4
Dublin City University,/universities/dublin-city-university,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/dublin-city-university_592560cf2aeae70239af4b27_small.jpg,63.4,311,,False,False,301,314,303,277,365,80.3,57.1,60.2,68.4,62.7
Indian Institute of Technology Kharagpur (IIT-KGP),/universities/indian-institute-technology-kharagpur-iit-kgp,Asia,India,Kharagpur,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-kharagpur-iit-kgp_285_small.jpg,63.4,312,,False,False,238,354,131,401+,401+,82.3,53.1,70.4,59.5,57.9
Koç University,/universities/koc-university,Asia,Türkiye,Istanbul,https://www.topuniversities.com/sites/default/files/ko-university_592560cf2aeae70239af4d7e_small.jpg,63.4,313,,False,False,401+,401+,182,398,351,70.7,37.1,66.9,60.7,63.3
SOAS University of London ,/universities/soas-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_small.jpg,63.4,314,,False,False,364,401+,401+,357,212,76.5,37.2,55.8,63.9,68.6
University of Galway,/universities/university-galway,Europe,Ireland,Galway,https://www.topuniversities.com/sites/default/files/230111113541am417642Logo-QS-48x48.jpg,63.4,315,,False,False,267,284,239,300,401+,81.3,59.6,63.8,67.6,60.2
University of Turin,/universities/university-turin,Europe,Italy,Turin,https://www.topuniversities.com/sites/default/files/university-of-turin_632_small.jpg,63.4,316,,False,False,338,253,401+,277,233,78.6,63.5,51.3,68.4,67.7
Athens University of Economics and Business,/universities/athens-university-economics-business,Europe,Greece,Athens,https://www.topuniversities.com/sites/default/files/220228075444am741134AUEBLogo-48x48.jpg,63.3,317,,False,False,401+,401+,308,329,241,72.9,23,60.1,65.8,67.4
King Fahd University of Petroleum & Minerals,/universities/king-fahd-university-petroleum-minerals,Asia,Saudi Arabia,Dhahran,https://www.topuniversities.com/sites/default/files/231010055416am142277Untitled-2-48x48.jpg,63.3,318,,False,False,355,279,116,401+,401+,77.6,59.8,71.3,50.4,58.6
Tohoku University,/universities/tohoku-university,Asia,Japan,Sendai City,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,63.3,319,,False,False,377,357,229,401+,345,75.6,52.7,64.3,53.9,63.4
University of Canterbury | Te Whare Wānanga o Waitaha,/universities/university-canterbury-te-whare-wananga-o-waitaha,Oceania,New Zealand,Christchurch,https://www.topuniversities.com/sites/default/files/university-of-canterbury_97_small.jpg,63.3,320,5,False,False,281,289,356,329,338,81,58.8,58.4,65.8,63.6
Wageningen University & Research,/universities/wageningen-university-research,Europe,Netherlands,Wageningen,https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg,63.3,321,,False,False,29,7,379,247,401+,89,94.7,57.2,70,59
American University of the Middle East,/universities/american-university-middle-east,Asia,Kuwait,Egaila,https://www.topuniversities.com/sites/default/files/american-university-of-the-middle-east_592560e39988f300e232137c_small.jpg,63.2,322,5,False,False,401+,401+,240,401+,140,48,25.6,63.7,40.9,72.3
Lahore University of Management Sciences (LUMS),/universities/lahore-university-management-sciences-lums,Asia,Pakistan,Lahore,https://www.topuniversities.com/sites/default/files/lahore-university-of-management-sciences-lums_592560cf2aeae70239af531b_small.jpg,63.2,323,,False,False,401+,401+,149,401+,290,61,30.3,68.9,52.2,65
Universidad Externado de Colombia ,/universities/universidad-externado-de-colombia,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-externado-de-colombia_795_small.jpg,63.2,324,,False,False,401+,401+,161,401+,112,31.2,9.1,68.3,40.9,73.7
Emory University,/universities/emory-university,North America,United States,Atlanta,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg,63.1,325,,False,False,111,98,401+,88,401+,85.4,75.3,55.2,79,60.8
UCSI University,/universities/ucsi-university,Asia,Malaysia,Kuala Lumpur,https://www.topuniversities.com/sites/default/files/ucsi-university_592560e09988f300e2320ce5_small.jpg,63.1,326,,False,False,401+,401+,172,401+,250,58.9,23.4,67.4,50.4,67
Al-Farabi Kazakh National University,/universities/al-farabi-kazakh-national-university,Asia,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,63,327,5,False,False,401+,401+,212,401+,168,49.9,30.4,65.4,37.6,70.5
Bandung Institute of Technology (ITB),/universities/bandung-institute-technology-itb,Asia,Indonesia,Bandung,https://www.topuniversities.com/sites/default/files/bandung-institute-of-technology-itb_41_small.jpg,63,328,,False,False,401+,401+,118,401+,288,57.7,29.2,71.1,43.7,65.2
"The University of Newcastle, Australia (UON)",/universities/university-newcastle-australia-uon,Oceania,Australia,Callaghan,https://www.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_small.jpg,63,329,,False,False,59,262,385,105,401+,87.5,62.2,56.9,78,60.9
University of Kent,/universities/university-kent,Europe,United Kingdom,Canterbury,https://www.topuniversities.com/sites/default/files/university-of-kent_315_small.jpg,63,330,,False,False,72,246,401+,47,341,86.9,64,51.4,81.7,63.5
University of Miami,/universities/university-miami,North America,United States,Miami,https://www.topuniversities.com/sites/default/files/university-of-miami_401_small.jpg,63,331,,False,False,169,114,333,198,401+,84.1,74.1,59.1,72.1,59.6
