University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Paper Rank,International Research Network Rank,Employer Reputation Rank,H-index Citations Rank,Academic Reputation Rank,Citations per Paper Score,International Research Network Score,Employer Reputation Score,H-index Citations Score,Academic Reputation Score
King's College London,/universities/kings-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-48x48.jpg,78.2,42,,False,False,205,2,61,53,74,83.3,99.9,74.6,81.3,76.9
McGill University,/universities/mcgill-university,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,78.2,43,,False,False,190,26,50,71,65,83.6,85,76.4,79.9,77.6
Fudan University,/universities/fudan-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,78.1,44,,False,False,148,207,25,300,72,84.5,66.5,82.4,67.6,77.2
The University of Sydney,/universities/university-sydney,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,78,45,,False,False,241,67,135,78,38,82.2,79.6,70.1,79.5,81.7
Universidade de São Paulo,/universities/universidade-de-sao-paulo,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_small.jpg,78,46,,False,False,401+,66,25,357,63,72.1,79.7,82.4,63.9,78.2
University of Texas at Austin,/universities/university-texas-austin,North America,United States,Austin,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,78,47,,False,False,65,220,76,28,49,87.3,65.6,73.1,84.1,79.8
Erasmus University Rotterdam ,/universities/erasmus-university-rotterdam,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg,77.8,48,,False,False,68,217,149,78,34,87.1,65.8,68.9,79.5,82.6
Monash University,/universities/monash-university,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,77.5,49,,False,False,169,79,107,38,53,84.1,77.5,71.6,82.6,79.2
The University of Edinburgh,/universities/university-edinburgh,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,77.1,50,,False,False,181,18,95,53,67,83.8,87.8,72.2,81.3,77.4
HEC Paris Business School,/universities/hec-paris-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/hec-paris-school-of-management_257_small.jpg,77,51,,False,False,401+,401+,44,401+,17,70.7,18.5,78,58.2,86.1
The Chinese University of Hong Kong (CUHK),/universities/chinese-university-hong-kong-cuhk,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/230719090304am589775CUHK-acronym-logo-thumb-200x200%20%281%29_0.jpg,76.9,52,,False,False,140,328,107,173,41,84.7,55.3,71.6,73.4,81.5
Yonsei University,/universities/yonsei-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg,76.5,53,,False,False,308,384,55,300,43,79.9,48.2,75.3,67.6,80.8
Universidad de Chile,/universities/universidad-de-chile,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg,76.4,54,,False,False,401+,332,36,357,54,73.1,55,79.5,63.9,79.1
The Hong Kong University of Science and Technology,/universities/hong-kong-university-science-technology,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,76.3,55,,False,False,16,392,103,277,43,91,47.3,71.8,68.4,80.8
University of Navarra,/universities/university-navarra,Europe,Spain,Pamplona,https://www.topuniversities.com/sites/default/files/230306122729pm463748navarra-logo-200x200-48x48.jpg,76.3,56,,False,False,287,188,55,329,59,80.8,67.8,75.3,65.8,78.6
Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,76.2,57,,False,False,17,22,45,173,139,90.9,86.9,77.7,73.4,72.4
Shanghai Jiao Tong University,/universities/shanghai-jiao-tong-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,76.2,58,,False,False,74,308,33,229,104,86.8,57.5,81.4,70.7,74.1
Université Paris 1 Panthéon-Sorbonne ,/universities/universite-paris-1-pantheon-sorbonne,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/universit-paris-1-panthon-sorbonne_482_small.jpg,76,59,,False,False,401+,301,52,314,48,70.1,58.2,76.2,66.7,79.9
Lomonosov Moscow State University,/universities/lomonosov-moscow-state-university,Europe,Russia,Moscow,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg,75.9,60,,False,True,401+,148,6,401+,121,57,71.5,91.8,52.2,73.2
Korea University,/universities/korea-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,75.7,61,,False,False,205,345,89,329,47,83.3,54,72.5,65.8,80.1
King Abdulaziz University (KAU),/universities/king-abdulaziz-university-kau,Asia,Saudi Arabia,Jeddah,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg,75.6,62,,False,False,45,45,126,247,74,88.1,82.1,70.5,70,76.9
