University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Diversity Rank,Thought Leadership Rank,Employability Rank,Alumni Outcomes Rank,Value for Money Score,Diversity Score,Thought Leadership Score,Employability Score,Alumni Outcomes Score
Queen Mary University of London (QMUL),/universities/queen-mary-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,38.4,187,,False,False,151+,141+,=69,121-130,91,28.8,52.6,56,38.8,48.8
Rabat Business School,/universities/universit-internationale-de-rabat/rabat-business-school,Africa,Morocco,Rabat,https://www.topuniversities.com/sites/default/files/profiles/logos/221209043122pm221692LOGO-RBS--48x48.jpg,26.3,188,,False,False,141-150,151+,151+,151+,151+,48,45.5,32.5,22.1,27.4
Ritsumeikan APU,/universities/graduate-school-management,Asia,Japan,Beppu,https://www.topuniversities.com/sites/default/files/profiles/logos/ritsumeikan-asia-pacific-university_592560cf2aeae70239af5791_small.jpg,32.6,189,,False,False,131-140,131+,151+,151+,141-150,51.2,54.6,31.5,33.1,29.6
Stevens Institute of Technology,/universities/stevens-institute-technology/stevens-institute-technology-school-business,North America,United States,Hoboken (NJ),https://www.topuniversities.com/sites/default/files/profiles/logos/stevens-institute-of-technology-school-of-business_5b7270869ed419061c189306_small.jpg,33.7,190,,False,False,=80,151+,151+,151+,121-130,66.8,39.7,32.5,27.4,37.4
Suffolk (Sawyer),/universities/suffolk-university/sawyer-business-school-usa,North America,United States,Boston (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/sawyer-business-school-usa_19531_small.jpg,31.9,191,,False,False,101-110,111+,151+,151+,101-110,58.8,61.2,26.9,22.7,41.1
T A PAI Management Institute,/universities/ta-pai-management-institute-tapmi,Asia,India,Manipal,https://www.topuniversities.com/sites/default/files/profiles/logos/t.a.-pai-management-institute-tapmi_5d4d781d5c52f35321193b58_small.jpg,20.9,192,,False,False,151+,151+,151+,151+,151+,20.5,30.9,26.7,33.1,24.5
United International Business School (UIBS),/universities/united-international-business-school-uibs,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/231011013942pm244023resized-logos-90x90_5.jpg,33.2,193,,False,False,73,51+,151+,151+,151+,70.3,78.6,22.5,26.3,20
Universidad San Ignacio del Loyola (USIL),/universities/universidad-san-ignacio-de-loyola/college-business-universidad-san-ignacio-de-loyola,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/220614123701pm934494Webp.net-resizeimage-2022-06-14T153441.332-48x48_0.jpg,29.9,194,,False,False,131-140,151+,151+,141-150,151+,52,25.9,36.3,35.7,20
University of Pecs,/universities/university-pecs,Europe,Hungary,Pecs,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-pcs_592560cf2aeae70239af4fff_small.jpg,28.8,195,,False,False,151+,76+,151+,151+,151+,37.6,70.2,28.1,32.8,20
University of South Florida,/universities/university-south-florida/university-south-florida-muma-college-business,North America,United States,Tampa (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-south-florida-muma-college-of-business_592560e79988f300e2322049_small.jpg,37.7,196,,False,False,69,88+,131-140,151+,121-130,72.4,67.6,38.9,23.3,35.8
University of Texas at Arlington,/universities/university-texas-arlington,North America,United States,Arlington (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/QS_UTA-Logo-48x48.jpg,34.8,197,,False,False,76,131+,131-140,151+,131-140,69,53.6,39.3,22.8,33.2
Victoria (Gustavson),/universities/university-victoria-uvic,North America,Canada,Victoria,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-victoria-uvic_592560cf2aeae70239af4d0e_small.jpg,35.5,198,,False,False,121-130,79+,151+,151+,121-130,53.6,69.1,35.3,29.3,37.5
Vilnius University,/universities/vilnius-university/vilnius-university,Europe,Lithuania,Vilnius,https://www.topuniversities.com/sites/default/files/profiles/logos/faculty-of-economics-and-business-administration_5b4d9e6b9ed41968750865b9_small.jpg,36.3,199,,False,False,151+,111+,101-110,101-110,151+,28.5,60.2,45.7,45.7,29.3
Worcester Polytechnic Institute (Foisie),/universities/worcester-polytechnic-institute,North America,United States,Worcester (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/worcester-polytechnic-institute_592560cf2aeae70239af4dc0_small.jpg,38,200,,False,False,84,111+,151+,151+,111-120,66.3,58.7,32.7,31.8,39.7
Woxsen School of Business,/universities/woxsen-university,Asia,India,Hyderabad,https://www.topuniversities.com/sites/default/files/profiles/logos/230929014359pm716742download-48x48.jpg,20,201,,False,False,151+,151+,151+,151+,151+,21,29.8,28.9,31.4,20
